Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Richie Grant",UCF,6,40,6.67,25,0,68,40,108,0.0,0.0,Defense
"Cooper Edmiston",TULS,4,34,8.50,26,0,47,66,113,0.5,1.0,Defense
"Delvon Randall",TEM,4,52,13.00,52t,1,62,23,85,0.0,0.0,Defense
"James Wiggins",CINN,4,83,20.75,86t,1,36,18,54,0.0,0.0,Defense
"Linwood Crump",TEM,3,0,0.00,0,0,12,1,13,0.0,0.0,Defense
"Jarid Ryan",NAVY,3,4,1.33,4,0,24,10,34,0.0,0.0,Defense
"Benny Walls",TEM,3,9,3.00,9,0,23,23,46,1.0,8.0,Defense
"Donnie Lewis",TULN,3,49,16.33,49t,1,43,12,55,0.0,0.0,Defense
"Gleson Sprewell",HOU,3,71,23.67,63t,1,51,30,81,0.0,0.0,Defense
"Nick Roberts",USF,3,91,30.33,61,0,53,20,73,0.0,0.0,Defense
"Rock Ya-Sin",TEM,2,-1,-0.50,0,0,36,11,47,0.0,0.0,Defense
"Coby Bryant",CINN,2,0,0.00,0,0,30,3,33,0.0,0.0,Defense
"Nevelle Clarke",UCF,2,0,0.00,0,0,38,8,46,1.0,5.0,Defense
"Emeke Egbule",HOU,2,0,0.00,0,0,39,30,69,2.0,16.0,Defense
"Keanu Hill",TULS,2,0,0.00,0,0,14,6,20,0.0,0.0,Defense
"Oneil Robinson",CONN,2,0,0.00,0,0,42,22,64,0.0,0.0,Defense
"Mike Hampton",USF,2,15,7.50,15,0,35,8,43,1.0,7.0,Defense
"Tito Windham",MEM,2,19,9.50,15,0,37,14,51,0.0,0.0,Defense
"Corey Seargent",ECU,2,22,11.00,22,0,19,13,32,0.0,0.0,Defense
"Patrick Nelson",SMU,2,23,11.50,22,0,37,28,65,1.5,14.0,Defense
"Jake Springer",NAVY,2,24,12.00,24,0,19,17,36,0.0,0.0,Defense
"Ronnie Hoggins",USF,2,29,14.50,27,0,58,24,82,0.5,1.0,Defense
"Terrell Carter",MEM,2,35,17.50,35t,1,58,10,68,0.0,0.0,Defense
"Arquon Bush",CINN,2,36,18.00,36t,1,3,0,3,0.0,0.0,Defense
"McKinley Whitfield",TULS,2,39,19.50,21,0,38,33,71,0.0,0.0,Defense
"Garrett Davis",HOU,2,44,22.00,24,0,6,4,10,0.0,0.0,Defense
"Isaiah Johnson",HOU,2,45,22.50,41,0,50,16,66,0.0,0.0,Defense
"Nick Watkins",HOU,2,50,25.00,50t,1,31,11,42,0.0,0.0,Defense
"Sean Williams",NAVY,2,57,28.50,36,0,56,29,85,0.0,0.0,Defense
