Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Cedarius Rookard",TROY,5,105,21.00,60,0,32,40,72,0.0,0.0,Defense
"Jerry Jacobs",ARST,4,19,4.75,13,0,25,7,32,0.0,0.0,Defense
"Josh Thomas",APST,4,28,7.00,18,0,31,12,43,0.0,0.0,Defense
"Kindle Vildor",GSU,4,36,9.00,17,0,31,11,42,0.0,0.0,Defense
"Tae Hayes",APST,4,102,25.50,32,0,31,13,44,0.0,0.0,Defense
"Desmond Franklin",APST,4,113,28.25,46,1,30,21,51,0.0,0.0,Defense
"Tyler Murray",TROY,3,57,19.00,46,0,25,24,49,2.0,13.0,Defense
"Jalen Thompson",USA,3,84,28.00,55t,1,23,11,34,0.0,0.0,Defense
"Chandler Kryst",CCU,2,-3,-1.50,0,0,16,5,21,1.0,4.0,Defense
"Eric Garror",LA,2,0,0.00,0,0,13,9,22,1.0,4.0,Defense
"Michael Jacquet III",LA,2,0,0.00,0,0,37,11,48,0.0,0.0,Defense
"Marcus Jones",TROY,2,0,0.00,0,0,24,10,34,0.0,0.0,Defense
"Darian Mills",USA,2,0,0.00,0,0,17,5,22,0.0,0.0,Defense
"B.J. Edmonds",ARST,2,5,2.50,5,0,34,23,57,0.0,0.0,Defense
"Kenderick Duncan Jr.",GSU,2,33,16.50,20,0,28,11,39,0.0,0.0,Defense
"Justin Clifton",ARST,2,43,21.50,43t,1,41,40,81,0.0,0.0,Defense
"Kordell Rodgers",TXST,2,51,25.50,51t,1,25,12,37,0.0,0.0,Defense
"Tron Folsom",TROY,2,53,26.50,53t,1,38,43,81,2.0,18.0,Defense
"Demari Medley",ARST,2,53,26.50,53t,1,11,4,15,0.0,0.0,Defense
"Derambez Drinkard",CCU,2,60,30.00,60t,1,4,1,5,0.0,0.0,Defense
"Corey Straughter",ULM,2,116,58.00,66t,1,18,11,29,0.0,0.0,Defense
"Marcus Hubbard",ULM,1,-2,-2.00,0,0,31,6,37,2.0,8.0,Defense
"Tobias Moss",USA,1,-1,-1.00,0,0,32,11,43,0.0,0.0,Defense
"Chris Bacon",GAST,1,0,0.00,0,0,15,10,25,0.0,0.0,Defense
"Bull Barge",USA,1,0,0.00,0,0,40,39,79,0.0,0.0,Defense
"Blace Brown",TROY,1,0,0.00,0,0,25,19,44,0.0,0.0,Defense
"Brandon Byner",ARST,1,0,0.00,0,0,19,8,27,0.0,0.0,Defense
"Rashad Byrd",GSU,1,0,0.00,0,0,30,24,54,0.0,0.0,Defense
"Clifton Duck",APST,1,0,0.00,0,0,28,23,51,0.0,0.0,Defense
"Tyler Gore",GAST,1,0,0.00,0,0,8,4,12,0.0,0.0,Defense
"Koa Haynes",LA,1,0,0.00,0,0,21,14,35,0.0,0.0,Defense
"Chris Henderson",USA,1,0,0.00,0,0,1,2,3,0.0,0.0,Defense
"Jabari Johnson",ULM,1,0,0.00,0,0,31,20,51,1.0,9.0,Defense
"Benz Josue",GSU,1,0,0.00,0,0,4,0,4,0.0,0.0,Defense
"Kyler Knudsen",TROY,1,0,0.00,0,0,14,16,30,0.0,0.0,Defense
"Jarron Morris",TXST,1,0,0.00,0,0,35,9,44,1.0,5.0,Defense
"Kaiden Smith",APST,1,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Anthony J. Taylor",TXST,1,0,0.00,0,0,28,13,41,0.0,0.0,Defense
"Corey Turner",LA,1,0,0.00,0,0,48,30,78,1.0,8.0,Defense
"Melvin Tyus",TROY,1,0,0.00,0,0,29,31,60,0.0,0.0,Defense
"Jashon Waddy",TXST,1,0,0.00,0,0,20,20,40,0.0,0.0,Defense
"Jaylon Jones",GAST,1,1,1.00,1t,1,35,12,47,0.0,0.0,Defense
"Jay Woods",USA,1,1,1.00,1,0,1,0,1,0.0,0.0,Defense
"Noel Cook",APST,1,2,2.00,2,0,36,39,75,3.5,18.0,Defense
"Austin Exford",APST,1,3,3.00,3,0,23,27,50,0.0,0.0,Defense
"Sterrling Fisher",USA,1,4,4.00,4,0,13,17,30,3.0,21.0,Defense
"Tomarcio Reese",GSU,1,4,4.00,4,0,28,36,64,1.5,2.0,Defense
"Will Sunderland",TROY,1,4,4.00,4,0,11,10,21,1.5,14.0,Defense
"Lane Ecton",GSU,1,7,7.00,7,0,12,22,34,0.5,3.0,Defense
"Deuce Wallace",LA,1,8,8.00,8,0,29,11,40,1.0,9.0,Defense
"Victor Heyward",GAST,1,10,10.00,10,0,22,26,48,0.5,1.0,Defense
"Travis Reed",USA,1,10,10.00,10,0,10,5,15,0.0,0.0,Defense
"DeAndre Applin",GAST,1,12,12.00,12,0,13,14,27,0.0,0.0,Defense
"Hunter Reese",TROY,1,15,15.00,15,0,18,42,60,7.5,58.0,Defense
"Gus Nave",USA,1,17,17.00,17,0,16,2,18,0.0,0.0,Defense
"Thomas Hennigan",APST,1,23,23.00,23,0,3,0,3,0.0,0.0,Defense
"Clifton Lewis",TXST,1,23,23.00,23,0,18,19,37,1.0,6.0,Defense
"Quavian White",GAST,1,23,23.00,23,0,31,11,42,0.0,0.0,Defense
"Darreon Jackson",ARST,1,25,25.00,25,0,51,39,90,2.0,10.0,Defense
"Darrell Baker Jr.",GSU,1,28,28.00,28,0,5,1,6,0.0,0.0,Defense
"Alvin Ward",GSU,1,28,28.00,28t,1,1,2,3,0.0,0.0,Defense
"Monquavion Brinson",GSU,1,30,30.00,30,0,52,15,67,0.0,0.0,Defense
"Joshua Moon",GSU,1,34,34.00,34,0,41,30,71,0.5,1.0,Defense
"Cortez Sisco Jr.",ULM,1,46,46.00,46,0,26,27,53,1.5,7.0,Defense
"Jessie Liptrot",GSU,1,57,57.00,57t,1,17,4,21,0.0,0.0,Defense
"Bralen Trahan",LA,1,63,63.00,63,0,8,0,8,0.0,0.0,Defense
"Terence Dunlap",TROY,1,88,88.00,88,0,30,13,43,0.0,0.0,Defense
"Brad Absher",APST,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Jonathan Adams Jr.",ARST,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Tony Adams",ARST,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"Tukua Ahoia",ARST,0,0,0.00,0,0,1,2,3,0.0,0.0,Defense
"Ryan Alexander",USA,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Marterious Allen",GAST,0,0,0.00,0,0,13,12,25,3.5,25.0,Defense
"Tre Allen",GSU,0,0,0.00,0,0,6,8,14,0.0,0.0,Defense
"Malik Alley",TXST,0,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Khai Anderson",GAST,0,0,0.00,0,0,15,8,23,0.0,0.0,Defense
"Triston Anderson",ARST,0,0,0.00,0,0,3,4,7,0.0,0.0,Defense
"Jake Arceneaux",LA,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"T.J. Arnold",GAST,0,0,0.00,0,0,5,4,9,1.0,9.0,Defense
"Sami Awad",TXST,0,0,0.00,0,0,6,10,16,0.0,0.0,Defense
"TW Ayers",ARST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Kawaan Baker",USA,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Steven Banks",GAST,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"Javen Banks",TXST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Antione Barker",TROY,0,0,0.00,0,0,13,14,27,4.5,15.0,Defense
"Brody Barrett",APST,0,0,0.00,0,0,3,3,6,0.5,4.0,Defense
"Tyler Bass",GSU,0,0,0.00,0,0,6,0,6,0.0,0.0,Defense
"Brandius Batiste",ULM,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Omar Bayless",ARST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"A.J. Beach",APST,0,0,0.00,0,0,4,2,6,0.0,0.0,Defense
"Derrick Bean",ARST,0,0,0.00,0,0,12,19,31,0.0,0.0,Defense
"Jordon Beaton",USA,0,0,0.00,0,0,11,19,30,2.0,21.0,Defense
"Andy Becker",ULM,0,0,0.00,0,0,1,4,5,0.0,0.0,Defense
"Jamal Bell",LA,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Taj Bickham",USA,0,0,0.00,0,0,1,1,2,0.0,0.0,Defense
"DK Billingsley",TROY,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Ronheen Bingham",ARST,0,0,0.00,0,0,26,39,65,9.0,60.0,Defense
"Tyler Bird",APST,0,0,0.00,0,0,1,1,2,0.0,0.0,Defense
"Justin Birdsong",GSU,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Massimo Biscardi",CCU,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
