Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Andre Cisco",SYR,7,47,6.71,39,0,46,14,60,0.0,0.0,Defense
"Hamp Cheevers",BC,7,135,19.29,81t,1,27,12,39,0.0,0.0,Defense
"Juan Thornhill",UVA,5,141,28.20,62,0,62,36,98,0.0,0.0,Defense
"Stanford Samuels III",FSU,4,23,5.75,11,0,37,21,58,0.0,0.0,Defense
"Christopher Fredrick",SYR,3,-2,-0.67,0,0,37,18,55,0.0,0.0,Defense
"Trajan Bandy",MIA,3,13,4.33,13,0,25,11,36,0.0,0.0,Defense
"Sheldrick Redwine",MIA,3,14,4.67,14,0,35,29,64,3.0,25.0,Defense
"Jhavonte Dean",MIA,3,46,15.33,25,0,5,12,17,0.0,0.0,Defense
"Taj-Amir Torres",BC,3,69,23.00,34,0,34,18,52,2.0,23.0,Defense
"Jarius Morehead",NCST,3,84,28.00,57t,1,45,36,81,0.0,0.0,Defense
"A.J. Terrell",CLEM,3,95,31.67,44t,1,40,13,53,0.0,0.0,Defense
"Myles Dorn",UNC,2,0,0.00,0,0,34,21,55,0.0,0.0,Defense
"Caleb Farley",VT,2,0,0.00,0,0,29,7,36,1.0,2.0,Defense
"Kyle Meyers",FSU,2,0,0.00,0,0,25,4,29,2.0,18.0,Defense
"Patrice Rene",UNC,2,2,1.00,2,0,25,6,31,0.0,0.0,Defense
"Trill Williams",SYR,2,3,1.50,3,0,25,6,31,0.0,0.0,Defense
"Tariq Carpenter",GT,2,6,3.00,6,0,35,20,55,0.0,0.0,Defense
"Reggie Floyd",VT,2,9,4.50,5,0,56,32,88,0.0,0.0,Defense
"Jaquan Johnson",MIA,2,9,4.50,9,0,44,48,92,0.0,0.0,Defense
"Bryce Hall",UVA,2,19,9.50,19,0,39,23,62,2.0,8.0,Defense
"Anree Saint-Amour",GT,2,19,9.50,16,1,29,18,47,4.0,31.0,Defense
"Kielan Whitner",SYR,2,20,10.00,20,0,60,40,100,1.5,6.0,Defense
"Nick McCloud",NCST,2,23,11.50,23,0,34,17,51,0.0,0.0,Defense
"Charles Snowden",UVA,2,23,11.50,23,0,24,37,61,2.5,17.0,Defense
"Tanner Muse",CLEM,2,25,12.50,25,0,31,30,61,2.0,11.0,Defense
"C.J. Avery",LOU,2,28,14.00,25,0,33,23,56,0.5,1.0,Defense
"Joey Blount",UVA,2,31,15.50,31,0,39,26,65,0.0,0.0,Defense
"A.J. Westbrook",FSU,2,33,16.50,33,0,37,28,65,0.5,1.0,Defense
"Jason Pinnock",PITT,2,34,17.00,25,0,15,0,15,1.0,5.0,Defense
"Brandon Sebastian",BC,2,34,17.00,33,0,38,11,49,1.0,2.0,Defense
"Tim Harris",UVA,2,68,34.00,62,0,20,16,36,0.0,0.0,Defense
"Damar Hamlin",PITT,2,79,39.50,79,0,61,29,90,0.0,0.0,Defense
"Romeo Finley",MIA,2,83,41.50,83t,1,18,10,28,0.0,0.0,Defense
"Malik Rivera",GT,2,84,42.00,42,0,40,28,68,0.0,0.0,Defense
"Essang Bassey",WF,1,0,0.00,0,0,53,21,74,1.0,8.0,Defense
"Corey Bell Jr.",UNC,1,0,0.00,0,0,3,1,4,0.0,0.0,Defense
"Eurndraus Bryant",NCST,1,0,0.00,0,0,9,16,25,2.5,12.0,Defense
"Therran Coleman",PITT,1,0,0.00,0,0,5,3,8,0.0,0.0,Defense
"De'Vante Cross",UVA,1,0,0.00,0,0,6,7,13,0.0,0.0,Defense
"David Curry",GT,1,0,0.00,0,0,28,19,47,0.5,3.0,Defense
"William Harris",BC,1,0,0.00,0,0,43,32,75,0.0,0.0,Defense
"Chris Ingram",NCST,1,0,0.00,0,0,30,9,39,0.0,0.0,Defense
"Anthony Johnson",LOU,1,0,0.00,0,0,12,2,14,0.0,0.0,Defense
"A.J. Lytton",FSU,1,0,0.00,0,0,9,5,14,0.0,0.0,Defense
"Damarri Mathis",PITT,1,0,0.00,0,0,13,5,18,0.0,0.0,Defense
