Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Adrian Frye",TTU,5,55,11.00,48t,1,17,4,21,0.0,0.0,Defense
"Caden Sterns",TEX,4,33,8.25,33,0,46,16,62,1.0,3.0,Defense
"Kenny Robinson",WVU,4,58,14.50,42,0,52,25,77,0.0,0.0,Defense
"Vaughnte Dorsey",TTU,4,123,30.75,75,0,39,16,55,0.5,1.0,Defense
"Braxton Lewis",IAST,3,0,0.00,0,0,40,30,70,1.0,12.0,Defense
"Parnell Motley",OKLA,3,17,5.67,10,0,42,21,63,0.0,0.0,Defense
"Duke Shelley",KSST,3,30,10.00,30,0,32,1,33,0.0,0.0,Defense
"Keith Washington",WVU,3,52,17.33,51t,1,33,7,40,1.5,14.0,Defense
"Shakial Taylor",KAN,3,68,22.67,55t,1,28,5,33,0.0,0.0,Defense
"Hasan Defense",KAN,3,125,41.67,60,0,31,12,43,0.0,0.0,Defense
"AJ Parker",KSST,2,0,0.00,0,0,47,6,53,0.0,0.0,Defense
"Raleigh Texada",BAY,2,0,0.00,0,0,24,8,32,0.0,0.0,Defense
"Rodarius Williams",OKST,2,0,0.00,0,0,40,9,49,0.0,0.0,Defense
"Dravon Askew-Henry",WVU,2,3,1.50,3,0,37,17,54,0.0,0.0,Defense
"Julius Lewis",TCU,2,3,1.50,3,0,28,2,30,0.0,0.0,Defense
"Kevion McGee",KSST,2,18,9.00,18,0,7,2,9,0.0,0.0,Defense
"Ridwan Issahaku",TCU,2,21,10.50,21,0,56,24,80,2.0,18.0,Defense
"Brandon Jones",TEX,2,26,13.00,19,0,48,22,70,0.0,0.0,Defense
"Jeff Gladney",TCU,2,34,17.00,27,0,30,11,41,1.0,10.0,Defense
"Toyous Avery",WVU,2,53,26.50,42,0,28,16,44,1.0,2.0,Defense
"Marcel Spears Jr.",IAST,2,53,26.50,41t,1,44,25,69,2.5,13.0,Defense
"Derrek Thomas",BAY,1,-7,-7.00,0,0,17,4,21,0.0,0.0,Defense
"Christian Morgan",BAY,1,-2,-2.00,0,0,13,5,18,0.0,0.0,Defense
"Kendall Adams",KSST,1,0,0.00,0,0,28,11,39,0.0,0.0,Defense
"Kris Boyd",TEX,1,0,0.00,0,0,50,17,67,1.0,9.0,Defense
"Chris Brown",TEX,1,0,0.00,0,0,11,1,12,1.0,8.0,Defense
"Douglas Coleman",TTU,1,0,0.00,0,0,15,9,24,0.0,0.0,Defense
"Johnathan Durham",KSST,1,0,0.00,0,0,9,4,13,0.0,0.0,Defense
"B.J. Foster",TEX,1,0,0.00,0,0,33,13,46,2.5,22.5,Defense
"Innis Gaines",TCU,1,0,0.00,0,0,24,7,31,1.0,6.0,Defense
"A.J. Green",OKST,1,0,0.00,0,0,39,10,49,0.0,0.0,Defense
"Corione Harris",KAN,1,0,0.00,0,0,33,11,44,0.0,0.0,Defense
"Jah'Shawn Johnson",TTU,1,0,0.00,0,0,41,19,60,0.0,0.0,Defense
"D'Andre Payne",IAST,1,0,0.00,0,0,29,9,38,1.0,11.0,Defense
"Vernon Scott",TCU,1,0,0.00,0,0,25,11,36,0.0,0.0,Defense
"Markell Simmons",TCU,1,0,0.00,0,0,28,14,42,0.0,0.0,Defense
"Ricky Thomas",KAN,1,0,0.00,0,0,10,1,11,0.0,0.0,Defense
"Joe Dineen Jr.",KAN,1,1,1.00,1,0,109,36,145,3.0,27.0,Defense
"Jeremiah McCullough",KAN,1,1,1.00,1,0,15,8,23,0.0,0.0,Defense
"Shea Campbell",WVU,1,2,2.00,2,0,25,15,40,1.0,12.0,Defense
"Keith Loneker",KAN,1,2,2.00,2,0,45,23,68,1.0,7.0,Defense
"Derrek Pitts",WVU,1,2,2.00,2,0,22,5,27,1.0,15.0,Defense
"Ezekiel Rose",WVU,1,2,2.00,2,0,12,7,19,1.5,9.0,Defense
"Jordyn Brooks",TTU,1,3,3.00,3,0,49,35,84,3.0,27.0,Defense
"Davante Davis",TEX,1,3,3.00,3,0,36,6,42,0.0,0.0,Defense
"Jairon McVea",BAY,1,3,3.00,3,0,3,1,4,0.0,0.0,Defense
"Jahron McPherson",KSST,1,4,4.00,4,0,14,5,19,0.0,0.0,Defense
"Najee Stevens-McKenzie",KAN,1,4,4.00,4,0,0,1,1,0.0,0.0,Defense
"Tre Norwood",OKLA,1,5,5.00,5,0,38,20,58,1.0,5.0,Defense
"Kenneth Mann",OKLA,1,6,6.00,6,0,20,31,51,1.0,6.0,Defense
"Wyatt Hubert",KSST,1,11,11.00,11,0,27,7,34,4.5,30.0,Defense
"Davon Ferguson",KAN,1,12,12.00,12,0,5,0,5,0.0,0.0,Defense
"Jarrick Bernard",OKST,1,15,15.00,15,0,48,10,58,1.0,11.0,Defense
"Blake Lynch",BAY,1,15,15.00,15,0,31,16,47,1.5,5.0,Defense
"Hakeem Bailey",WVU,1,17,17.00,17,0,31,11,42,0.0,0.0,Defense
"Brian Peavy",IAST,1,19,19.00,19,0,41,16,57,1.0,6.0,Defense
"Trevon Moehrig-Woodard",TCU,1,20,20.00,20,0,12,3,15,0.0,0.0,Defense
"Elmore Hempstead Jr.",KAN,1,21,21.00,21,0,9,2,11,0.0,0.0,Defense
"P.J. Locke III",TEX,1,22,22.00,22,0,58,19,77,0.5,3.0,Defense
"Devin Harper",OKST,1,24,24.00,24t,1,32,12,44,2.5,13.0,Defense
"Terrel Bernard",BAY,1,28,28.00,28,0,25,22,47,1.0,12.0,Defense
"Mike Lee",KAN,1,31,31.00,31t,1,51,17,68,0.0,0.0,Defense
"Robert Barnes",OKLA,1,32,32.00,32,0,31,23,54,0.0,0.0,Defense
"Greg Eisworth",IAST,1,37,37.00,37,0,56,31,87,1.0,16.0,Defense
"Bryce Torneden",KAN,1,39,39.00,39t,1,60,28,88,2.0,19.0,Defense
"Niko Small",TCU,1,45,45.00,45,0,17,6,23,0.0,0.0,Defense
"Jeffrey McCulloch",TEX,1,65,65.00,65,0,17,16,33,1.0,3.0,Defense
"Jawuan Johnson",TCU,1,72,72.00,72,0,42,29,71,1.0,8.0,Defense
"Jordan Adams",WVU,0,0,0.00,0,0,5,2,7,0.0,0.0,Defense
"Quincy Addison",TTU,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Landen Akers",IAST,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Kisean Allen",TTU,0,0,0.00,0,0,6,3,9,0.0,0.0,Defense
