Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Tre Watson",MD,5,51,10.20,36t,1,70,44,114,1.0,7.0,Defense
"Geno Stone",IOWA,4,24,6.00,24t,1,29,10,39,0.0,0.0,Defense
"J.R. Pace",NW,4,26,6.50,26,0,51,31,82,0.0,0.0,Defense
"Darnell Savage Jr.",MD,4,30,7.50,23t,1,38,14,52,0.0,0.0,Defense
"Del'Shawn Phillips",ILL,4,36,9.00,34,0,45,50,95,1.5,11.0,Defense
"Jake Gervase",IOWA,4,50,12.50,28,0,49,40,89,0.0,0.0,Defense
"Amani Hooker",IOWA,4,60,15.00,39,0,36,29,65,1.0,6.0,Defense
"Amani Oruwariye",PSU,3,-2,-0.67,0,0,40,11,51,0.0,0.0,Defense
"Nate Hall",NW,3,0,0.00,0,0,32,19,51,0.0,0.0,Defense
"Jartavius Martin",ILL,3,0,0.00,0,0,25,17,42,0.0,0.0,Defense
"Saquan Hampton",RUT,3,3,1.00,3,0,45,20,65,0.0,0.0,Defense
"Bryant Fitzgerald",IND,3,10,3.33,9,0,24,7,31,0.0,0.0,Defense
"Kenneth Major",PUR,3,11,3.67,10,0,42,13,55,0.0,0.0,Defense
"Shaun Wade",OSU,3,12,4.00,12,0,27,4,31,0.0,0.0,Defense
"Nick Scott",PSU,3,16,5.33,8,0,35,30,65,1.0,10.0,Defense
"T.J. Edwards",WISC,3,31,10.33,28,0,73,39,112,3.0,19.0,Defense
"RaVon Davis",MD,3,37,12.33,37t,1,21,10,31,0.0,0.0,Defense
"Michael Ojemudia",IOWA,3,38,12.67,29,0,23,16,39,0.0,0.0,Defense
"Garrett Taylor",PSU,3,84,28.00,45,0,45,26,71,0.0,0.0,Defense
"Josh Metellus",MICH,3,104,34.67,73t,1,31,18,49,0.0,0.0,Defense
"Brandon Watson",MICH,3,127,42.33,62t,2,23,12,35,0.0,0.0,Defense
"Antonio Blackmon",PUR,2,0,0.00,0,0,57,10,67,0.0,0.0,Defense
"Evan Bondoc",WISC,2,0,0.00,0,0,12,4,16,0.0,0.0,Defense
"Damon Hayes",RUT,2,0,0.00,0,0,23,36,59,1.0,4.0,Defense
"Lamar Jackson",NEB,2,0,0.00,0,0,19,7,26,0.0,0.0,Defense
"Antonio Reed",NEB,2,0,0.00,0,0,30,12,42,1.0,10.0,Defense
"Kendall Sheffield",OSU,2,0,0.00,0,0,27,8,35,0.0,0.0,Defense
"Isaiah Wharton",RUT,2,0,0.00,0,0,41,21,62,0.0,0.0,Defense
"Madison Cone",WISC,2,2,1.00,2,0,15,3,18,0.0,0.0,Defense
"Kai Higgins",PUR,2,2,1.00,2,0,22,8,30,1.0,5.0,Defense
"Matt Morrissey",MSU,2,2,1.00,2,0,14,15,29,0.0,0.0,Defense
"Josiah Scott",MSU,2,12,6.00,12,0,7,6,13,0.0,0.0,Defense
"Byron Cowart",MD,2,13,6.50,11,0,18,20,38,3.0,22.0,Defense
"Montre Hartage",NW,2,17,8.50,17,0,40,11,51,0.0,0.0,Defense
"Jacob Huff",MINN,2,21,10.50,21,0,60,33,93,0.0,0.0,Defense
"Coney Durr",MINN,2,25,12.50,25,0,31,5,36,0.5,2.0,Defense
"David Dowell",MSU,2,30,15.00,30,0,29,30,59,0.0,0.0,Defense
"Khari Willis",MSU,2,30,15.00,20,0,41,43,84,0.0,0.0,Defense
"Riley Moss",IOWA,2,36,18.00,36,0,20,4,24,0.0,0.0,Defense
"John Reid",PSU,2,44,22.00,44,0,17,7,24,0.0,0.0,Defense
"Blessuan Austin",RUT,1,-8,-8.00,0,0,3,0,3,1.0,15.0,Defense
"Ayinde Eley",MD,1,-4,-4.00,0,0,7,6,13,0.0,0.0,Defense
"Tony Adams",ILL,1,0,0.00,0,0,29,14,43,1.0,1.0,Defense
"Marcelino Ball",IND,1,0,0.00,0,0,40,19,59,2.5,22.0,Defense
"Thomas Barber",MINN,1,0,0.00,0,0,47,34,81,1.5,12.0,Defense
