Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Jalen Elliott",ND,4,66,16.50,24,0,36,31,67,0.5,0.0,Defense
"Mike Reynolds",ARMY,3,0,0.00,0,0,10,4,14,0.0,0.0,Defense
"Lee Moses",MASS,3,13,4.33,15,0,32,22,54,0.0,0.0,Defense
"Isaac Steele",LIB,3,17,5.67,20,0,44,21,65,0.0,0.0,Defense
"Brice McAllister",MASS,3,64,21.33,60t,1,39,35,74,0.0,0.0,Defense
"Bejour Wilson",LIB,3,75,25.00,42,0,43,15,58,0.0,0.0,Defense
"Troy Pride Jr.",ND,2,1,0.50,1,0,37,10,47,0.0,0.0,Defense
"Jaylon McClinton",ARMY,2,11,5.50,11,0,37,17,54,1.0,9.0,Defense
"Isaiah Kaufusi",BYU,2,18,9.00,15,0,30,20,50,1.0,3.0,Defense
"Solomon Ajayi",LIB,2,32,16.00,26t,1,40,35,75,1.0,7.0,Defense
"DeMarcus Owens",NMST,2,53,26.50,53,0,32,21,53,0.0,0.0,Defense
"Alohi Gilman",ND,2,54,27.00,54,0,59,36,95,0.0,0.0,Defense
"Austin Lee",BYU,2,62,31.00,36,0,26,15,41,0.0,0.0,Defense
"Isaiah Rodgers",MASS,2,89,44.50,55t,1,41,15,56,0.0,0.0,Defense
"Jarell Addo",MASS,1,0,0.00,0,0,27,28,55,0.0,0.0,Defense
"Elijah Benton",LIB,1,0,0.00,0,0,46,30,76,0.0,0.0,Defense
"Bakhari Goodson",MASS,1,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Corbin Jackson",LIB,1,0,0.00,0,0,27,24,51,0.5,4.0,Defense
"Julian Okwara",ND,1,0,0.00,0,0,25,11,36,6.5,48.0,Defense
"Austin Perkins",NMST,1,0,0.00,0,0,10,16,26,0.0,0.0,Defense
"Malik Moore",BYU,1,1,1.00,1,0,2,1,3,0.0,0.0,Defense
"Julian Love",ND,1,4,4.00,4,0,49,14,63,0.0,0.0,Defense
"Shamad Lomax",NMST,1,6,6.00,6,0,28,37,65,0.0,0.0,Defense
"Te'von Coney",ND,1,7,7.00,7,0,63,60,123,4.0,14.0,Defense
"Zayne Anderson",BYU,1,12,12.00,12,0,23,13,36,0.0,0.0,Defense
"Tanner Jacobson",BYU,1,19,19.00,19,0,14,12,26,0.0,0.0,Defense
"Rhett Sandlin",BYU,1,20,20.00,20,0,16,4,20,2.0,11.0,Defense
"Rion Davis",LIB,1,22,22.00,22t,1,1,5,6,0.0,0.0,Defense
"Nick Coleman",ND,1,27,27.00,27,0,14,2,16,0.0,0.0,Defense
"Terrill Hanks",NMST,1,28,28.00,28t,1,33,68,101,1.0,6.0,Defense
"Michael Shelton",BYU,1,31,31.00,31,0,26,11,37,0.0,0.0,Defense
"Chinedu Ogbonna",MASS,1,33,33.00,33,0,31,41,72,1.5,7.0,Defense
"Javahn Fergurson",NMST,1,37,37.00,37t,1,42,90,132,5.5,32.0,Defense
"Jeremy Peters",LIB,1,39,39.00,39,0,49,12,61,0.0,0.0,Defense
"Bryton Barr",MASS,1,53,53.00,53,0,56,91,147,4.0,26.0,Defense
"Tevis Abraham",NMST,0,0,0.00,0,0,1,1,2,0.0,0.0,Defense
"Jayson Ademilola",ND,0,0,0.00,0,0,11,8,19,0.5,3.0,Defense
"Justin Ademilola",ND,0,0,0.00,0,0,6,3,9,0.0,0.0,Defense
"Benjamin Alexander",LIB,0,0,0.00,0,0,5,4,9,0.0,0.0,Defense
"Bilal Ally",MASS,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"Aidan Alves",LIB,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Isaiah Armstrong",BYU,0,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Jordan Asberry",ARMY,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Tolen Avery",LIB,0,0,0.00,0,0,15,21,36,4.0,35.0,Defense
"Gavin Bassett",ARMY,0,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Bo Bauer",ND,0,0,0.00,0,0,7,3,10,0.0,0.0,Defense
"Asmar Bilal",ND,0,0,0.00,0,0,19,31,50,0.0,0.0,Defense
"Michael Bollinger",LIB,0,0,0.00,0,0,1,2,3,0.0,0.0,Defense
