Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Alvin Davis",AKR,4,149,37.25,97t,2,43,32,75,0.0,0.0,Defense
"Brad Koenig",MIOH,3,13,4.33,7,0,62,40,102,5.0,31.0,Defense
"Brandon Williams",BUFF,3,18,6.00,18,0,49,15,64,0.0,0.0,Defense
"Marcus Milton",BGSU,3,20,6.67,15,0,34,12,46,1.0,6.0,Defense
"Kevin McGill",EMU,3,33,11.00,26,0,24,14,38,0.0,0.0,Defense
"Cameron Lewis",BUFF,3,37,12.33,37,0,23,9,32,0.0,0.0,Defense
"Vince Calhoun",EMU,3,85,28.33,46,0,47,37,84,1.0,1.0,Defense
"Tatum Slack",BUFF,2,-2,-1.00,11,0,26,7,33,0.0,0.0,Defense
"Antonio Phillips",BALL,2,-1,-0.50,1,0,20,23,43,0.0,0.0,Defense
"Sean Bunting",CMU,2,0,0.00,0,0,26,11,37,0.0,0.0,Defense
"Bryce Cosby",BALL,2,0,0.00,0,0,42,41,83,0.0,0.0,Defense
"Evan Croutch",OHIO,2,0,0.00,0,0,54,32,86,5.5,37.0,Defense
"Clint Stephens",BGSU,2,0,0.00,0,0,29,21,50,0.0,0.0,Defense
"Aapri Washington",BUFF,2,0,0.00,0,0,15,6,21,0.0,0.0,Defense
"Darian Dailey",AKR,2,2,1.00,2,0,18,9,27,0.0,0.0,Defense
"Jamal Hines",TOL,2,4,2.00,4,0,25,24,49,3.0,9.0,Defense
"Kylan Nelson",OHIO,2,4,2.00,4,0,34,25,59,0.0,0.0,Defense
"Anton Curtis",WMU,2,8,4.00,8,0,17,7,24,0.0,0.0,Defense
"Javon Hagan",OHIO,2,12,6.00,10,0,40,37,77,0.0,0.0,Defense
"Jarren Hampton",OHIO,2,12,6.00,12,0,13,12,25,0.0,0.0,Defense
"Kyle Rachwal",EMU,2,12,6.00,12,0,49,78,127,2.0,13.0,Defense
"Zach Ford",TOL,2,13,6.50,13,0,19,13,32,0.0,0.0,Defense
"Juwan Dowels",WMU,2,17,8.50,20,0,20,13,33,0.0,0.0,Defense
"Josh Miller",BALL,2,18,9.00,18,0,40,6,46,0.0,0.0,Defense
"Jared Dorsa",OHIO,2,19,9.50,16,0,26,34,60,0.0,0.0,Defense
"Mykelti Williams",NIU,2,19,9.50,15,0,45,30,75,0.0,0.0,Defense
"Jamal Parker",KENT,2,20,10.00,20,0,52,31,83,0.0,0.0,Defense
"Jalen McKie",NIU,2,25,12.50,23t,1,21,5,26,1.0,5.0,Defense
"Malik Fountain",CMU,2,28,14.00,24,0,87,66,153,1.0,13.0,Defense
"Ray Wilborn",BALL,2,48,24.00,43,0,47,36,83,3.0,15.0,Defense
"Tyler Taafe",TOL,2,52,26.00,31t,2,17,36,53,0.5,2.0,Defense
