Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Javin White",UNLV,4,30,7.50,22,0,40,34,74,2.0,6.0,Defense
"DJ Williams",USU,4,31,7.75,31,0,33,9,42,1.0,7.0,Defense
"Juju Hughes",FRES,4,65,16.25,33,0,40,38,78,0.0,0.0,Defense
"Dakari Monroe",SJSU,4,88,22.00,50t,1,32,24,56,0.0,0.0,Defense
"Aaron Wade",USU,4,96,24.00,95t,1,28,22,50,0.0,0.0,Defense
"Anthoula Kelly",FRES,4,153,38.25,70t,2,47,13,60,0.0,0.0,Defense
"V.J. Banks",CSU,3,0,0.00,0,0,18,9,27,0.0,0.0,Defense
"Jeremy Fejedelem",AF,3,0,0.00,0,0,54,50,104,1.0,5.0,Defense
"Mike Bell",FRES,3,1,0.33,1,0,53,34,87,0.5,5.0,Defense
"Kekaula Kaniho",BSU,3,15,5.00,9,0,27,13,40,1.0,9.0,Defense
"Dameon Baber",NEV,3,29,9.67,29,0,36,24,60,0.0,0.0,Defense
"Jontrell Rocquemore",USU,3,52,17.33,32t,1,31,41,72,2.0,23.0,Defense
"Parker Baldwin",SDSU,2,0,0.00,0,0,60,43,103,0.0,0.0,Defense
"Jordan Fogal",CSU,2,0,0.00,0,0,18,30,48,0.0,0.0,Defense
"Andrew Wingard",WYO,2,0,0.00,0,0,46,41,87,1.0,5.0,Defense
"Justin Brent",NEV,2,1,0.50,1,0,20,7,27,1.0,8.0,Defense
"Darren Hall",SDSU,2,9,4.50,9,0,34,11,45,1.0,9.0,Defense
"Zach Wilson",HAW,2,13,6.50,13,0,12,10,22,0.0,0.0,Defense
"Antonio Hull",WYO,2,15,7.50,15,0,30,14,44,0.0,0.0,Defense
"Jesse Osuna",SJSU,2,16,8.00,13,0,55,38,93,2.0,14.0,Defense
"David Woodward",USU,2,17,8.50,17,0,52,82,134,5.0,39.0,Defense
"Jomon Dotson",NEV,2,20,10.00,15,0,63,12,75,0.0,0.0,Defense
"Logan Wilson",WYO,2,21,10.50,13,0,57,46,103,2.0,9.0,Defense
"Jeffrey Allison",FRES,2,27,13.50,23,0,72,60,132,0.5,2.0,Defense
"Dalton Baker",UNLV,2,30,15.00,28,0,60,49,109,0.0,0.0,Defense
"Avery Williams",BSU,2,31,15.50,24,0,33,16,49,0.0,0.0,Defense
"Gaje Ferguson",USU,2,40,20.00,40t,1,30,44,74,1.0,5.0,Defense
"Tariq Thompson",SDSU,2,41,20.50,41,0,37,20,57,0.0,0.0,Defense
"Tipa Galeai",USU,2,56,28.00,56t,1,30,34,64,10.5,59.0,Defense
"Evahelotu Tohi",UNM,2,64,32.00,35,0,26,31,57,1.0,4.0,Defense
"Marcus Hayes",UNM,2,68,34.00,60t,1,31,20,51,0.0,0.0,Defense
"Deante Fortenberry",USU,2,76,38.00,75t,1,14,4,18,0.0,0.0,Defense
"Jericho Flowers",UNLV,1,-1,-1.00,0,0,43,10,53,0.0,0.0,Defense
"James Bailey",FRES,1,0,0.00,0,0,45,35,80,3.0,19.0,Defense
"Jalin Burrell",UNM,1,0,0.00,0,0,36,16,52,0.0,0.0,Defense
"Kyle Floyd",AF,1,0,0.00,0,0,18,21,39,2.0,28.0,Defense
"Eugene Ford",HAW,1,0,0.00,0,0,18,8,26,0.0,0.0,Defense
"Kendall Hune",HAW,1,0,0.00,0,0,19,21,40,1.0,7.0,Defense
"Jocquez Kalili",UNLV,1,0,0.00,0,0,35,14,49,0.0,0.0,Defense
"Tony Lashley",BSU,1,0,0.00,0,0,7,6,13,0.5,3.0,Defense
"Cassh Maluia",WYO,1,0,0.00,0,0,23,23,46,0.0,0.0,Defense
"Chavez Pownell Jr.",WYO,1,0,0.00,0,0,15,8,23,0.0,0.0,Defense
"Berdale Robins",NEV,1,0,0.00,0,0,13,3,16,0.0,0.0,Defense
"Nehemiah Shelton",SJSU,1,0,0.00,0,0,4,0,4,0.0,0.0,Defense
"Grant Theil",AF,1,0,0.00,0,0,6,9,15,0.0,0.0,Defense
"Stanley Barnwell",UNM,1,1,1.00,1,0,40,36,76,0.0,0.0,Defense
"Trenton Thompson",SDSU,1,1,1.00,1,0,30,27,57,1.0,7.0,Defense
"Luqman Barcoo",SDSU,1,2,2.00,2,0,12,8,20,0.0,0.0,Defense
"Rojesterman Farris II",HAW,1,4,4.00,4,0,35,10,45,0.0,0.0,Defense
"Emmanuel Jones",CSU,1,4,4.00,4,0,16,18,34,2.0,22.0,Defense
"Leevel Tatum III",FRES,1,5,5.00,5,0,4,1,5,0.0,0.0,Defense
"Kyle Harmon",SJSU,1,6,6.00,6,0,22,18,40,0.0,0.0,Defense
"Noble Hall",SDSU,1,7,7.00,7,0,16,19,35,2.0,11.0,Defense
"Ronley Lakalaka",SDSU,1,7,7.00,7,0,27,23,50,1.0,1.0,Defense
"Logan Lee",USU,1,7,7.00,7,0,5,7,12,1.0,9.0,Defense
"Alii Matau",SJSU,1,10,10.00,10,0,8,11,19,0.0,0.0,Defense
"Wylan Free",FRES,1,12,12.00,12,0,12,6,18,0.0,0.0,Defense
"Asauni Rufus",NEV,1,14,14.00,14,0,39,26,65,1.0,13.0,Defense
"Zamore Zigler",SJSU,1,14,14.00,14,0,17,8,25,0.0,0.0,Defense
"D'Angelo Ross",UNM,1,17,17.00,17,0,36,21,57,0.0,0.0,Defense
"Jonathan Lenard Jr.",SJSU,1,18,18.00,18,0,56,34,90,0.0,0.0,Defense
"Demitrious Gibbs",UNLV,1,23,23.00,23,0,21,16,37,1.0,9.0,Defense
"Tyler Hall",WYO,1,26,26.00,26,0,28,11,39,0.0,0.0,Defense
"Ethan Aguayo",SJSU,1,27,27.00,27,0,48,58,106,0.0,0.0,Defense
"De'John Rogers",UNM,1,28,28.00,28,0,19,7,26,0.0,0.0,Defense
"Kyle Johnson",AF,1,32,32.00,32t,1,27,43,70,0.5,1.0,Defense
"Bijon Parker",UNM,1,35,35.00,39,0,22,17,39,1.0,7.0,Defense
"Nephi Sewell",NEV,1,35,35.00,35,0,32,21,53,0.0,0.0,Defense
"Drew Tejchman",UNLV,1,36,36.00,36,0,2,2,4,0.0,0.0,Defense
"Mykal Walker",FRES,1,38,38.00,38t,1,38,48,86,4.0,13.0,Defense
"Jaron Bryant",FRES,1,39,39.00,39,0,43,7,50,0.0,0.0,Defense
"John Toussaint",SJSU,1,41,41.00,41,0,23,8,31,0.0,0.0,Defense
"Daniel Brown",NEV,1,42,42.00,42t,1,39,14,53,0.0,0.0,Defense
"Rashad Ajayi",CSU,1,55,55.00,55t,1,21,12,33,1.0,3.0,Defense
"Carl Granderson",WYO,1,61,61.00,61t,1,28,12,40,3.0,13.0,Defense
"Arron Mosby",FRES,1,95,95.00,95t,1,8,4,12,0.0,0.0,Defense
"Tyler Horton",BSU,1,99,99.00,99t,1,31,15,46,0.0,0.0,Defense
"Zane Lewis",AF,1,99,99.00,99t,1,28,15,43,0.0,0.0,Defense
"Shaquez Bond",USU,1,100,100.00,100t,1,25,12,37,0.0,0.0,Defense
"Christopher 'Unga",USU,0,0,0.00,0,0,6,25,31,0.5,1.0,Defense
"Montel Aaron",SJSU,0,0,0.00,0,0,0,1,1,0.0,0.0,Defense
"Kyle Adams",NEV,0,0,0.00,0,0,16,13,29,0.0,0.0,Defense
"Adewale Adeoye",USU,0,0,0.00,0,0,19,19,38,1.0,4.0,Defense
"Soli Afalava",UNLV,0,0,0.00,0,0,3,5,8,0.0,0.0,Defense
"Ramiz Ahmed",NEV,0,0,0.00,0,0,2,0,2,0.0,0.0,Defense
"Austin Ajiake",UNLV,0,0,0.00,0,0,3,2,5,0.0,0.0,Defense
"Samiuela Akoteu",HAW,0,0,0.00,0,0,24,11,35,3.0,7.0,Defense
"Andrew Aleki",SDSU,0,0,0.00,0,0,8,14,22,0.0,0.0,Defense
"Cameron Alexander",SJSU,0,0,0.00,0,0,1,6,7,0.0,0.0,Defense
"JD Alexander",UNLV,0,0,0.00,0,0,2,1,3,0.0,0.0,Defense
"Eltoro Allen",USU,0,0,0.00,0,0,1,1,2,0.0,0.0,Defense
"Caden Andersen",USU,0,0,0.00,0,0,2,7,9,1.0,8.0,Defense
"Devon Anderson",USU,0,0,0.00,0,0,8,26,34,1.5,7.0,Defense
"E.J. Ane",SJSU,0,0,0.00,0,0,2,4,6,0.0,0.0,Defense
"Marcus Armstrong-Brown",HAW,0,0,0.00,0,0,1,0,1,0.0,0.0,Defense
"Austin Arnold",NEV,0,0,0.00,0,0,3,1,4,0.0,0.0,Defense
"Kevin Atkins",FRES,0,0,0.00,0,0,12,16,28,1.0,9.0,Defense
"Erin Austin",UNM,0,0,0.00,0,0,10,7,17,2.5,15.0,Defense
"Trey Austin",UNLV,0,0,0.00,0,0,0,2,2,0.0,0.0,Defense
"Evan Austrie",UNLV,0,0,0.00,0,0,45,21,66,0.0,0.0,Defense
