Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Olamide Zaccheaus",UVA,94,"1,073",11.41,86t,9,Receiving
"Jakobi Meyers",NCST,92,"1,047",11.38,39,4,Receiving
"Greg Dortch",WF,89,"1,078",12.11,54t,8,Receiving
"Kelvin Harmon",NCST,81,"1,186",14.64,74t,7,Receiving
"T.J. Rahming",DUKE,75,811,10.81,85t,8,Receiving
"Sean Riley",SYR,64,756,11.81,75t,3,Receiving
"Tee Higgins",CLEM,59,936,15.86,64t,12,Receiving
"Amari Rodgers",CLEM,54,570,10.56,68t,4,Receiving
"Nyqwan Murray",FSU,54,744,13.78,58t,3,Receiving
"Emeka Emezie",NCST,53,616,11.62,67t,5,Receiving
"Hasise Dubois",UVA,52,578,11.12,33t,5,Receiving
"Johnathan Lloyd",DUKE,51,604,11.84,68t,5,Receiving
"Damon Hazelton",VT,51,802,15.73,72t,8,Receiving
"Jamal Custis",SYR,51,906,17.76,68,6,Receiving
"Hunter Renfrow",CLEM,49,544,11.10,40,1,Receiving
"Justyn Ross",CLEM,46,"1,000",21.74,74t,9,Receiving
"Dazz Newsome",UNC,44,506,11.50,55,2,Receiving
"D.J. Matthews",FSU,42,382,9.10,31t,1,Receiving
"Eric Kumah",VT,42,559,13.31,49t,7,Receiving
"Anthony Ratliff-Williams",UNC,42,689,16.40,51,2,Receiving
"Nykeim Johnson",SYR,41,565,13.78,82t,4,Receiving
"Sage Surratt",WF,41,581,14.17,43,4,Receiving
"Taj Harris",SYR,40,565,14.12,51,3,Receiving
"Rafael Araujo-Lopes",PITT,37,380,10.27,68t,4,Receiving
"Alex Bachman",WF,37,541,14.62,49,6,Receiving
"Jaylen Smith",LOU,36,550,15.28,42,1,Receiving
"Maurice Ffrench",PITT,35,515,14.71,78t,6,Receiving
"Jeff Thomas",MIA,35,563,16.09,67t,3,Receiving
"Tamorrion Terry",FSU,35,744,21.26,78t,8,Receiving
"Thayer Thomas",NCST,34,383,11.26,29,3,Receiving
"Brevin Jordan",MIA,32,287,8.97,41t,4,Receiving
"Tommy Sweeney",BC,32,348,10.88,37,3,Receiving
"Kobay White",BC,32,510,15.94,42,3,Receiving
"Hezekiah Grimsley",VT,31,382,12.32,46t,1,Receiving
"Chris Taylor",DUKE,31,419,13.52,52t,3,Receiving
