Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"James Proche",SMU,93,"1,199",12.89,67t,12,Receiving
"Marquez Stevenson",HOU,75,"1,019",13.59,79t,9,Receiving
"Trevon Brown",ECU,74,"1,123",15.18,80t,9,Receiving
"Damonte Coxie",MEM,72,"1,174",16.31,75t,7,Receiving
"Tyre McCants",USF,59,622,10.54,72t,3,Receiving
"Kahlil Lewis",CINN,56,782,13.96,61t,9,Receiving
"Gabriel Davis",UCF,53,815,15.38,75t,7,Receiving
"Reggie Roberson Jr.",SMU,52,802,15.42,59t,6,Receiving
"Ventell Bryant",TEM,51,690,13.53,62t,3,Receiving
"Darnell Mooney",TULN,48,993,20.69,86t,8,Receiving
"Branden Mack",TEM,44,601,13.66,49,5,Receiving
"Terren Encalade",TULN,44,727,16.52,74t,5,Receiving
"Mitchell Wilcox",USF,43,540,12.56,45,2,Receiving
"Dredrick Snelson",UCF,43,688,16.00,48,5,Receiving
"Keylon Stokes",TULS,41,575,14.02,70,2,Receiving
"Hergy Mayala",CONN,40,361,9.03,23,5,Receiving
"Tre Nixon",UCF,40,562,14.05,47,4,Receiving
"Braeden West",SMU,39,356,9.13,71t,1,Receiving
"Tony Pollard",MEM,39,458,11.74,44,3,Receiving
"Justin Hobbs",TULS,39,480,12.31,49t,3,Receiving
"Keith Corbin",HOU,39,684,17.54,51,10,Receiving
"Josiah Deguara",CINN,38,468,12.32,38t,5,Receiving
"Courtney Lark",HOU,35,539,15.40,65t,5,Receiving
"Keenen Johnson",TULS,34,438,12.88,41,4,Receiving
"Zavier Scott",CONN,33,228,6.91,22,1,Receiving
"John Williams",MEM,33,304,9.21,30,2,Receiving
"Isaiah Wright",TEM,33,368,11.15,53,3,Receiving
"Romello Brooker",HOU,33,409,12.39,52t,7,Receiving
"Randall St. Felix",USF,33,679,20.58,75t,4,Receiving
"Aaron McLean",CONN,32,396,12.38,41,2,Receiving
"Kyle Buss",CONN,32,482,15.06,80t,3,Receiving
"Bryson Smith",HOU,30,285,9.50,30t,4,Receiving
"Deondre Farrier",ECU,30,372,12.40,41,2,Receiving
"Blake Proehl",ECU,29,329,11.34,37,1,Receiving
"Jarion Anderson",TULS,28,288,10.29,37,1,Receiving
"Terrell Green",ECU,26,285,10.96,32,0,Receiving
"Rashad Medaris",CINN,26,472,18.15,77t,3,Receiving
"Michael Warren II",CINN,25,232,9.28,18,1,Receiving
"Darnell Salomon",USF,25,434,17.36,66t,4,Receiving
"Ryeshene Bronson",USF,24,271,11.29,72t,1,Receiving
"Jayshon Jackson",CINN,23,278,12.09,33,2,Receiving
"Randle Jones",TEM,23,445,19.35,70t,4,Receiving
"Stanley Clerveaux",USF,22,196,8.91,25,0,Receiving
"Tyler Davis",CONN,22,237,10.77,41t,6,Receiving
"Michael Colubiale",UCF,21,278,13.24,27,3,Receiving
"Joey Magnifico",MEM,21,363,17.29,44t,5,Receiving
"Thomas Geddis",CINN,20,228,11.40,29t,1,Receiving
"Leroy Henley",ECU,20,232,11.60,31,0,Receiving
"Jeremy Singleton",HOU,19,285,15.00,52t,2,Receiving
"Darrell Henderson",MEM,19,295,15.53,71t,3,Receiving
"Adrian Killins",UCF,19,377,19.84,71t,4,Receiving
"Myron Gailliard",SMU,18,137,7.61,18,1,Receiving
"Tahj Deans",ECU,18,187,10.39,39,1,Receiving
"Marlon Williams",UCF,18,234,13.00,32,1,Receiving
"Patrick Taylor Jr.",MEM,17,197,11.59,75t,2,Receiving
"Anthony Scott",ECU,16,95,5.94,20,0,Receiving
"Otis Anderson",UCF,16,230,14.38,57,3,Receiving
"Tyler Snead",ECU,15,236,15.73,36,4,Receiving
"Brodrick Yancy",TEM,15,263,17.53,40,1,Receiving
"Jernard Phillips",USF,14,125,8.93,15,0,Receiving
"Mechane Slade",MEM,14,125,8.93,24,1,Receiving
"Chris Myarick",TEM,14,146,10.43,36,1,Receiving
"Cole Neph",TULS,14,200,14.29,38t,3,Receiving
"Jabril Clewis",TULN,14,220,15.71,52t,1,Receiving
"Raelon Singleton",HOU,14,221,15.79,40,3,Receiving
"Kenny Yeboah",TEM,13,154,11.85,47t,1,Receiving
"Sean Dykes",MEM,13,196,15.08,34,2,Receiving
"Taylor Jackson",NAVY,13,222,17.08,50,1,Receiving
"Hussein Howe",ECU,12,53,4.42,9,0,Receiving
"Mydreon Vines",ECU,12,155,12.92,71t,1,Receiving
"Sean Ryan",TEM,12,162,13.50,27,1,Receiving
"Darius Pinnix",ECU,12,168,14.00,39,0,Receiving
"Tyler Page",SMU,12,234,19.50,92t,2,Receiving
