Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Antoine Wesley",TTU,88,"1,410",16.02,66t,9,Receiving
"Lil'Jordan Humphrey",TEX,86,"1,176",13.67,47t,9,Receiving
"Tylan Wallace",OKST,86,"1,491",17.34,56,12,Receiving
"Marquise Brown",OKLA,75,"1,318",17.57,77t,10,Receiving
"Jalen Reagor",TCU,72,"1,061",14.74,67t,9,Receiving
"Jalen Hurd",BAY,69,946,13.71,38,4,Receiving
"Collin Johnson",TEX,68,985,14.49,45,7,Receiving
"David Sills V",WVU,65,986,15.17,65t,15,Receiving
"CeeDee Lamb",OKLA,65,"1,158",17.82,86t,11,Receiving
"Ja'Deion High",TTU,62,804,12.97,62t,4,Receiving
"Hakeem Butler",IAST,60,"1,318",21.97,83t,9,Receiving
"Denzel Mims",BAY,55,794,14.44,55,8,Receiving
"T.J. Vasher",TTU,54,687,12.72,37,7,Receiving
"Gary Jennings",WVU,54,917,16.98,75t,13,Receiving
"Steven Sims Jr.",KAN,53,535,10.09,65t,4,Receiving
"Tyron Johnson",OKST,53,845,15.94,64t,7,Receiving
"Isaiah Zuber",KSST,52,619,11.90,72t,5,Receiving
"Dillon Stoner",OKST,48,603,12.56,32t,2,Receiving
"Marcus Simms",WVU,46,699,15.20,82t,2,Receiving
"Deshaunte Jones",IAST,43,366,8.51,32t,4,Receiving
"Devin Duvernay",TEX,41,546,13.32,48t,4,Receiving
"Chris Platt",BAY,36,511,14.19,45,1,Receiving
"Tarique Milton",IAST,34,417,12.26,60t,1,Receiving
"Pooka Williams Jr.",KAN,33,289,8.76,28t,2,Receiving
"Landon Wolf",OKST,33,362,10.97,42t,2,Receiving
"Taye Barber",TCU,32,303,9.47,24,2,Receiving
"Seth Collins",TTU,32,317,9.91,32,2,Receiving
"Dalton Schoen",KSST,32,520,16.25,42t,2,Receiving
"Jeremiah Booker",KAN,31,344,11.10,35,5,Receiving
"Kerr Johnson",KAN,30,309,10.30,31t,2,Receiving
"Trestan Ebner",BAY,29,348,12.00,75t,1,Receiving
"KaVontae Turpin",TCU,29,410,14.14,42t,3,Receiving
"Andrew Beck",TEX,28,281,10.04,36,2,Receiving
"Stephon Robinson Jr.",KAN,28,330,11.79,34,1,Receiving
"T.J. Simmons",WVU,28,341,12.18,59t,1,Receiving
"Keaontay Ingram",TEX,27,170,6.30,22t,2,Receiving
"Matt Eaton",IAST,27,304,11.26,38,2,Receiving
"JaMycal Hasty",BAY,26,170,6.54,34,1,Receiving
"Da'Leon Ward",TTU,26,196,7.54,45t,1,Receiving
"KeSean Carter",TTU,26,238,9.15,25,1,Receiving
"Trevon Wesco",WVU,26,366,14.08,43,1,Receiving
