Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Andy Isabella",MASS,102,"1,698",16.65,89t,13,Receiving
"Antonio Gandy-Golden",LIB,71,"1,037",14.61,50,10,Receiving
"Johnathan Boone",NMST,59,715,12.12,37,3,Receiving
"Miles Boykin",ND,59,872,14.78,40t,8,Receiving
"O.J. Clark",NMST,52,512,9.85,40t,1,Receiving
"DJ Stubbs",LIB,50,631,12.62,55,1,Receiving
"Chase Claypool",ND,50,639,12.78,35,4,Receiving
"Chris Finke",ND,49,571,11.65,56,2,Receiving
"Jason Huntley",NMST,47,529,11.26,60t,3,Receiving
"B.J. Farrow",LIB,40,546,13.65,37,5,Receiving
"Drew Dan",NMST,37,491,13.27,41,3,Receiving
"Alizé Mack",ND,36,360,10.00,47,3,Receiving
"Royce Caldwell",NMST,29,303,10.45,53t,2,Receiving
"Matt Bushman",BYU,29,511,17.62,39,2,Receiving
"Aleva Hifo",BYU,28,358,12.79,70t,2,Receiving
"Sadiq Palmer",MASS,28,419,14.96,38,2,Receiving
"Dylan Collie",BYU,24,277,11.54,41,3,Receiving
"Anthony Muse",NMST,23,210,9.13,27,1,Receiving
"Marquis Young",MASS,22,173,7.86,44,0,Receiving
"Talon Shumway",BYU,22,337,15.32,46,3,Receiving
"Lopini Katoa",BYU,20,114,5.70,27,1,Receiving
"Dallin Holker",BYU,19,235,12.37,25,1,Receiving
"Brennon Dingle",MASS,19,269,14.16,37,2,Receiving
"Jordan Fredericks",MASS,18,147,8.17,26,1,Receiving
"Neil Pau'u",BYU,18,216,12.00,48,1,Receiving
"Kyle Horn",MASS,17,166,9.76,23,0,Receiving
"Dexter Williams",ND,16,133,8.31,22,1,Receiving
"Izaiah Lottie",NMST,15,152,10.13,32,1,Receiving
"Cole Kmet",ND,15,162,10.80,24,0,Receiving
"Samuel Emilus",MASS,15,212,14.13,23t,4,Receiving
"Zak Simon",MASS,15,238,15.87,67t,2,Receiving
"Moroni Laulu-Pututau",BYU,14,120,8.57,31t,1,Receiving
"Jafar Armstrong",ND,14,159,11.36,27,0,Receiving
"Gunner Romney",BYU,13,162,12.46,26t,2,Receiving
"Micah Simon",BYU,12,107,8.92,20,0,Receiving
"Damian King",LIB,12,226,18.83,62,2,Receiving
"Jessie Britt",MASS,11,118,10.73,29t,1,Receiving
"Khaleb Coleman",LIB,11,126,11.45,29t,1,Receiving
"Kell Walker",ARMY,11,170,15.45,32,1,Receiving
"Jordan Asberry",ARMY,11,219,19.91,41t,4,Receiving
"Frankie Hickson",LIB,10,57,5.70,17,0,Receiving
"Dax Milne",BYU,10,69,6.90,9,1,Receiving
"Bryce Roberts",NMST,10,76,7.60,17,1,Receiving
"Zac Foutz",LIB,10,134,13.40,47,1,Receiving
"Peytton Pickett",LIB,9,40,4.44,10,0,Receiving
"Brayden El-Bakri",BYU,8,55,6.88,16,1,Receiving
"Christian Gibson",NMST,8,73,9.12,25,0,Receiving
"Matt Hadley",BYU,8,102,12.75,59,0,Receiving
"Glen Coates",ARMY,8,121,15.12,35,0,Receiving
"Shea Holebrook Jr.",NMST,7,57,8.14,17,0,Receiving
"Fidel Ogbeifun",LIB,7,87,12.43,27,0,Receiving
"Michael Young",ND,7,138,19.71,66,1,Receiving
"Christian Hayes",ARMY,7,152,21.71,44t,1,Receiving
"Kentory Matthews",LIB,6,41,6.83,12,0,Receiving
"Tony Jones Jr.",ND,6,157,26.17,51t,1,Receiving
"Avery Davis",ND,5,30,6.00,9,0,Receiving
"Taylor Edwards",MASS,5,48,9.60,16,0,Receiving
"JT Wood",LIB,5,55,11.00,20,0,Receiving
"Kevin Austin",ND,5,90,18.00,38,0,Receiving
"Tevis Abraham",NMST,4,13,3.25,6,0,Receiving
"Bilal Ally",MASS,4,36,9.00,11t,1,Receiving
"Lionell McConnell",LIB,4,36,9.00,15,0,Receiving
"Travis Reynolds",MASS,4,37,9.25,15,1,Receiving
"Squally Canada",BYU,4,40,10.00,15,0,Receiving
"Akile Davis",BYU,4,47,11.75,16,0,Receiving
"Camden Harrison",ARMY,4,129,32.25,45t,1,Receiving
"Nic Weishar",ND,3,10,3.33,6t,2,Receiving
"Avien Peah",MASS,3,16,5.33,7,0,Receiving
"Naveon Mitchell",NMST,3,31,10.33,20,1,Receiving
"Kevin Shaa",LIB,3,52,17.33,48,0,Receiving
"Kjetil Cline",ARMY,3,69,23.00,54,0,Receiving
"Calen Holt",ARMY,3,117,39.00,63,0,Receiving
"Brock Wright",ND,2,12,6.00,9,1,Receiving
"Mitchell Lewis",LIB,2,14,7.00,14,0,Receiving
"Caleb Mills",NMST,2,16,8.00,9,0,Receiving
"Tyler Allgeier",BYU,1,-3,-3.00,0,0,Receiving
"Tanner Mangum",BYU,1,2,2.00,2,0,Receiving
"Riley Burt",BYU,1,4,4.00,4,0,Receiving
"Xander Yarberough",NMST,1,4,4.00,4,0,Receiving
"Brody Brumm",LIB,1,7,7.00,7,0,Receiving
"Noah Frith",LIB,1,9,9.00,9,0,Receiving
"Darnell Woolfolk",ARMY,1,9,9.00,9,0,Receiving
"Jerome Jackson",LIB,1,10,10.00,10,0,Receiving
"Chris Barrett",LIB,1,12,12.00,12,0,Receiving
"Fred Cooper Jr.",ARMY,1,12,12.00,12,0,Receiving
"Zack Boobas",ARMY,1,14,14.00,14,0,Receiving
"Quinten Parker",ARMY,1,14,14.00,14,0,Receiving
"Jahmir Smith",ND,1,14,14.00,14,0,Receiving
"Artice Hobbs IV",ARMY,1,15,15.00,15,0,Receiving
"Michael Bollinger",LIB,1,18,18.00,18t,1,Receiving
