Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Preston Williams",CSU,96,"1,345",14.01,69,14,Receiving
"KeeSean Johnson",FRES,95,"1,340",14.11,45t,8,Receiving
"John Ursua",HAW,89,"1,343",15.09,80t,16,Receiving
"Cedric Byrd",HAW,79,970,12.28,55t,9,Receiving
"Kaleb Fossum",NEV,70,734,10.49,34,1,Receiving
"Sean Modster",BSU,68,978,14.38,54t,8,Receiving
"Ron'Quavion Tarver",USU,66,709,10.74,42,8,Receiving
"Josh Oliver",SJSU,56,709,12.66,70,4,Receiving
"Jared Rice",FRES,55,664,12.07,69,3,Receiving
"Olabisi Johnson",CSU,54,796,14.74,58t,4,Receiving
"A.J. Richardson",BSU,54,825,15.28,74t,8,Receiving
"JoJo Ward",HAW,51,865,16.96,75t,9,Receiving
"Marcus Armstrong-Brown",HAW,50,573,11.46,42,2,Receiving
"McLane Mannix",NEV,50,875,17.50,58t,7,Receiving
"Jalen Greene",USU,44,689,15.66,80t,6,Receiving
"Romeo Doubs",NEV,43,562,13.07,57,2,Receiving
"CT Thomas",BSU,41,535,13.05,53t,3,Receiving
"Tre Walker",SJSU,39,714,18.31,75t,5,Receiving
"Brandon Presley",UNLV,35,434,12.40,46,3,Receiving
"Delane Hart-Johnson",UNM,33,512,15.52,44,5,Receiving
"Aaren Vaughns",USU,33,581,17.61,72t,5,Receiving
"Austin Conway",WYO,32,250,7.81,22t,1,Receiving
"Warren Jackson",CSU,32,405,12.66,24,4,Receiving
"Tre Hartley",SJSU,32,446,13.94,51t,3,Receiving
"Kahale Warring",SDSU,31,372,12.00,30t,3,Receiving
"Tyleek Collins",UNLV,31,422,13.61,79t,6,Receiving
"John Hightower",BSU,31,504,16.26,67t,6,Receiving
"Cameron Butler",CSU,29,312,10.76,54,0,Receiving
"Jordan Nathan",USU,28,297,10.61,42t,3,Receiving
"Izzy Matthews",CSU,27,169,6.26,23,1,Receiving
"Alexander Mattison",BSU,27,173,6.41,23,0,Receiving
