Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Laviska Shenault Jr.",COL,86,"1,011",11.76,89t,6,Receiving
"James Williams",WSU,83,613,7.39,41,4,Receiving
"Dillon Mitchell",ORE,75,"1,184",15.79,67t,10,Receiving
"N'Keal Harry",AZST,73,"1,088",14.90,61t,9,Receiving
"Davontavean Martin",WSU,69,685,9.93,50t,8,Receiving
"Shun Brown",ARIZ,64,655,10.23,65t,6,Receiving
"JJ Arcega-Whiteside",STAN,63,"1,059",16.81,80t,14,Receiving
"Dezmon Patmon",WSU,61,816,13.38,65t,5,Receiving
"Britain Covey",UTAH,60,637,10.62,48,1,Receiving
"Trenton Irwin",STAN,60,685,11.42,37t,2,Receiving
"Amon-Ra St. Brown",USC,60,750,12.50,53,3,Receiving
"Caleb Wilson",UCLA,60,965,16.08,66,4,Receiving
"Isaiah Hodgins",ORST,59,876,14.85,51,5,Receiving
"Timmy Hernandez",ORST,58,661,11.40,46,3,Receiving
"Tyler Vaughns",USC,58,674,11.62,48t,6,Receiving
"Aaron Fuller",WASH,58,874,15.07,46,4,Receiving
"Trevon Bradford",ORST,56,649,11.59,63t,6,Receiving
"Andre Baccellia",WASH,55,584,10.62,48,0,Receiving
"Max Borghi",WSU,53,374,7.06,30,4,Receiving
"K.D. Nixon",COL,52,636,12.23,51,4,Receiving
"Easop Winston",WSU,52,654,12.58,89t,8,Receiving
"Patrick Laird",CAL,51,288,5.65,29t,4,Receiving
"Theo Howard",UCLA,51,677,13.27,58,4,Receiving
"Vic Wharton",CAL,50,502,10.04,55,1,Receiving
"Kaden Smith",STAN,47,635,13.51,36,2,Receiving
"Kyle Williams",AZST,44,449,10.20,38,2,Receiving
"Jamire Calvin",WSU,42,497,11.83,54,1,Receiving
"Shawn Poindexter",ARIZ,42,759,18.07,75t,11,Receiving
"Michael Pittman Jr.",USC,41,758,18.49,65t,6,Receiving
"Jaylon Redd",ORE,38,433,11.39,48t,5,Receiving
"Eno Benjamin",AZST,35,263,7.51,29,2,Receiving
"Maurice Ways",CAL,34,383,11.26,41,1,Receiving
"Kyle Sweet",WSU,33,339,10.27,27,0,Receiving
"Brandon Aiyuk",AZST,33,474,14.36,58t,3,Receiving
