Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Kalija Lipscomb",VAN,87,916,10.53,68t,9,Receiving
"A.J. Brown",MISS,85,"1,320",15.53,84t,6,Receiving
"Ryan Davis",AUB,69,546,7.91,47,1,Receiving
"Jerry Jeudy",ALA,68,"1,315",19.34,81t,14,Receiving
"Lynn Bowden Jr.",KY,67,745,11.12,54t,5,Receiving
"DaMarkus Lodge",MISS,65,877,13.49,51,4,Receiving
"Deebo Samuel",SCAR,62,882,14.23,89,11,Receiving
"Johnathon Johnson",MIZZ,59,737,12.49,86t,5,Receiving
"Bryan Edwards",SCAR,55,846,15.38,75t,7,Receiving
"Justin Jefferson",LSU,54,875,16.20,65t,6,Receiving
"Jared Pinkney",VAN,50,774,15.48,53,7,Receiving
"Jace Sternberger",TAMU,48,832,17.33,53,10,Receiving
"Henry Ruggs III",ALA,46,741,16.11,57t,11,Receiving
"Quartney Davis",TAMU,45,585,13.00,37,7,Receiving
"Shi Smith",SCAR,45,673,14.96,53t,4,Receiving
"Jaylen Waddle",ALA,45,848,18.84,94t,7,Receiving
"Irv Smith Jr.",ALA,44,710,16.14,76t,7,Receiving
"Albert Okwuegbunam",MIZZ,43,466,10.84,58t,6,Receiving
"Riley Ridley",UGA,43,559,13.00,35,9,Receiving
"DeVonta Smith",ALA,42,693,16.50,57,6,Receiving
"Marquez Callaway",TENN,37,592,16.00,51,2,Receiving
"Emanuel Hall",MIZZ,37,828,22.38,67t,6,Receiving
"Elijah Moore",MISS,36,398,11.06,50t,2,Receiving
"Van Jefferson",FLA,35,503,14.37,41,6,Receiving
"Mecole Hardman",UGA,35,543,15.51,59t,7,Receiving
"Darius Slayton",AUB,35,670,19.14,74t,5,Receiving
"C.J. Bolar",VAN,34,440,12.94,49,2,Receiving
"Camron Buckley",TAMU,34,474,13.94,69,1,Receiving
"D'Andre Swift",UGA,32,297,9.28,35t,3,Receiving
"Jhamon Ausbon",TAMU,31,375,12.10,26,0,Receiving
"C.J. Conrad",KY,30,318,10.60,32,3,Receiving
"C.J. O'Grady",ARK,30,400,13.33,39t,6,Receiving
"Isaac Nauta",UGA,30,430,14.33,55,3,Receiving
"Jauan Jennings",TENN,30,438,14.60,43,3,Receiving
"La'Michael Pettway",ARK,30,499,16.63,48t,4,Receiving
"Josh Hammond",FLA,28,369,13.18,49,4,Receiving
"Trayveon Williams",TAMU,27,278,10.30,38,1,Receiving
"Kendrick Rogers",TAMU,27,336,12.44,30,5,Receiving
"Jalen Knox",MIZZ,27,419,15.52,59t,3,Receiving
"Trevon Grimes",FLA,26,364,14.00,54,2,Receiving
"Osirus Mitchell",MSST,26,427,16.42,84t,4,Receiving
"Seth Williams",AUB,26,534,20.54,62,5,Receiving
"D.K. Metcalf",MISS,26,569,21.88,75t,5,Receiving
"Kadarius Toney",FLA,25,260,10.40,45,1,Receiving
"Khari Blasingame",VAN,25,320,12.80,65t,1,Receiving
"Jeremiah Holloman",UGA,24,418,17.42,65,5,Receiving
"Rakeem Boyd",ARK,23,165,7.17,38,0,Receiving
"Ja'Marr Chase",LSU,23,313,13.61,45,3,Receiving
"Stephen Sullivan",LSU,23,363,15.78,42,2,Receiving
"Terry Godwin",UGA,23,385,16.74,75t,3,Receiving
"Josh Palmer",TENN,23,484,21.04,53,2,Receiving
"Kylin Hill",MSST,22,176,8.00,53t,4,Receiving
"Kendall Blanton",MIZZ,22,177,8.05,18,2,Receiving
"Damien Harris",ALA,22,204,9.27,52,0,Receiving
"Foster Moreau",LSU,22,272,12.36,24,2,Receiving
"Derrick Dillon",LSU,22,307,13.95,71t,2,Receiving
"Anthony Schwartz",AUB,22,357,16.23,76t,2,Receiving
"Deon Stewart",ARK,21,167,7.95,37,0,Receiving
"Joshua Jacobs",ALA,20,247,12.35,33t,3,Receiving
"Dee Anderson",LSU,20,274,13.70,28,1,Receiving
"Ty Chandler",TENN,19,183,9.63,42t,3,Receiving
"Deddrick Thomas",MSST,19,256,13.47,44,2,Receiving
"Stephen Guidry",MSST,19,440,23.16,84,3,Receiving
"Josh Vann",SCAR,18,118,6.56,16,1,Receiving
"Michael Woods",ARK,18,206,11.44,29t,1,Receiving
"Tyrie Cleveland",FLA,18,212,11.78,38t,3,Receiving
"Benjamin Snell Jr.",KY,17,105,6.18,28,0,Receiving
"Dominick Wood-Anderson",TENN,17,140,8.24,33,2,Receiving
"Jordan Jones",ARK,17,191,11.24,57t,1,Receiving
"Justin Johnson",MSST,17,238,14.00,37,1,Receiving
"David Bouvier",KY,16,209,13.06,29t,2,Receiving
"Braylon Sanders",MISS,16,271,16.94,55,1,Receiving
"Hezekiah Jones",TAMU,15,134,8.93,18,0,Receiving
"Dominic Gicinto",MIZZ,15,171,11.40,42,2,Receiving
"JaTarvious Whitlow",AUB,15,173,11.53,66t,2,Receiving
"Kiel Pollard",SCAR,15,181,12.07,67t,2,Receiving
"Dawson Knox",MISS,15,284,18.93,48,0,Receiving
"Larry Rountree III",MIZZ,14,62,4.43,18,0,Receiving
"Nick Brossette",LSU,14,78,5.57,15,0,Receiving
"Brandon Johnson",TENN,14,132,9.43,29,0,Receiving
"Rico Dowdle",SCAR,14,133,9.50,22t,1,Receiving
"K.C. Crosby",SCAR,14,149,10.64,31,0,Receiving
"Freddie Swain",FLA,14,265,18.93,65t,5,Receiving
"Tavin Richardson",KY,13,114,8.77,20,0,Receiving
"Chris Pierce",VAN,13,128,9.85,20,1,Receiving
"Dorian Baker",KY,13,133,10.23,23,0,Receiving
"Malik Miller",AUB,13,144,11.08,30,1,Receiving
"Lamical Perine",FLA,13,170,13.08,63,1,Receiving
"Ke'Shawn Vaughn",VAN,13,170,13.08,75t,2,Receiving
"Damarea Crockett",MIZZ,12,88,7.33,32,1,Receiving
"Sal Cannella",AUB,12,111,9.25,22t,3,Receiving
"Tim Jordan",TENN,12,116,9.67,34,0,Receiving
"Nate Brown",MIZZ,12,129,10.75,27,0,Receiving
"Tyler Badie",MIZZ,12,130,10.83,25,0,Receiving
"Terrace Marshall Jr.",LSU,12,192,16.00,52,0,Receiving
"Chase Hayden",ARK,11,61,5.55,20,0,Receiving
"Farrod Green",MSST,11,81,7.36,13,0,Receiving
"Chandler Cox",AUB,11,93,8.45,19,1,Receiving
"Clyde Edwards-Helaire",LSU,11,96,8.73,30,0,Receiving
"Charlie Woerner",UGA,11,148,13.45,35,0,Receiving
