Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Kirk Merritt",ARST,83,"1,005",12.11,73t,7,Receiving
"Justin McInnis",ARST,61,748,12.26,78t,5,Receiving
"Jamarius Way",USA,61,855,14.02,73t,8,Receiving
"Damion Willis",TROY,56,876,15.64,75t,10,Receiving
"Keenen Brown",TXST,51,577,11.31,46t,5,Receiving
"Marcus Green",ULM,50,855,17.10,80t,8,Receiving
"Penny Hart",GAST,49,669,13.65,51,2,Receiving
"Deondre Douglas",TROY,48,472,9.83,41,7,Receiving
"Malcolm Williams",CCU,47,724,15.40,61t,5,Receiving
"Ryheem Malone",LA,44,525,11.93,47,4,Receiving
"Corey Sutton",APST,44,773,17.57,90t,10,Receiving
"Sidney Davis",TROY,43,399,9.28,45t,3,Receiving
"Ja'Marcus Bradley",LA,40,608,15.20,53,10,Receiving
"Omar Bayless",ARST,39,566,14.51,54t,2,Receiving
"RJ Turner",ULM,36,526,14.61,57,1,Receiving
"Cornelius McCoy",GAST,35,495,14.14,45,1,Receiving
"Hutch White",TXST,33,284,8.61,35,2,Receiving
"Kawaan Baker",USA,33,494,14.97,51,4,Receiving
"Jordan McCray",USA,29,273,9.41,34t,4,Receiving
"Thomas Hennigan",APST,29,327,11.28,33,1,Receiving
"Markis McCray",ULM,27,304,11.26,41,0,Receiving
"Warren Wand",ARST,26,213,8.19,28,1,Receiving
"Ky'Jon Tyler",CCU,26,397,15.27,81t,2,Receiving
"Trey Ragas",LA,25,229,9.16,30,2,Receiving
"Tray Eafford",TROY,24,292,12.17,60t,3,Receiving
"Tra Minter",USA,23,201,8.74,38,0,Receiving
"Malik Williams",APST,23,257,11.17,38,3,Receiving
"Dominique Heath",APST,23,304,13.22,64t,5,Receiving
"Jabir Daughtry-Frye",TROY,22,235,10.68,35t,1,Receiving
"Devin Gentry",GAST,22,286,13.00,46,3,Receiving
"Derrick Gore",ULM,21,80,3.81,23,0,Receiving
"Jeremiah Miller",CCU,21,272,12.95,24t,1,Receiving
"Elijah Mitchell",LA,20,349,17.45,64t,3,Receiving
"Tyler Watts",TXST,19,186,9.79,69,0,Receiving
"Jarrod Jackson",LA,19,325,17.11,53t,4,Receiving
"Jalen Virgil",APST,17,238,14.00,41,0,Receiving
"Jonathan Adams Jr.",ARST,17,267,15.71,35t,3,Receiving
"Caleb Twyford",TXST,16,121,7.56,23,0,Receiving
"Matthew Barnes",LA,16,125,7.81,19t,1,Receiving
"Marcel Murray",ARST,16,141,8.81,67t,2,Receiving
"Jeremiah Haydel",TXST,16,326,20.38,93t,4,Receiving
"Brandon Bowling",ARST,15,108,7.20,26,0,Receiving
"Roger Carter",GAST,15,136,9.07,20,1,Receiving
"CJ Marable",CCU,15,180,12.00,48,2,Receiving
"Wesley Kennedy III",GSU,15,182,12.13,40,0,Receiving
"Tra Barnett",GAST,14,70,5.00,15,0,Receiving
"Sloan Spiller",ULM,14,119,8.50,17,1,Receiving
"Henry Pearson",APST,14,160,11.43,26,2,Receiving
"Jaivon Heiligh",CCU,14,202,14.43,28,2,Receiving
"Deonta Moore",USA,12,53,4.42,14,0,Receiving
"Darrynton Evans",APST,12,87,7.25,25,1,Receiving
"Isaiah Likely",CCU,12,106,8.83,31t,5,Receiving
"Josh Pederson",ULM,12,121,10.08,34t,2,Receiving
"Christian Owens",GAST,12,128,10.67,21t,2,Receiving
"Collin Reed",APST,12,134,11.17,43,3,Receiving
"Tamir Jones",GAST,12,162,13.50,54,3,Receiving
"Keenan Barnes",LA,12,166,13.83,41,1,Receiving
