Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Alex Barnes",KSST,256,"1,402",47,"1,355",5.29,55t,12,Rushing
"David Montgomery",IAST,257,"1,254",38,"1,216",4.73,39,13,Rushing
"Pooka Williams Jr.",KAN,161,"1,178",64,"1,114",6.92,72,7,Rushing
"Kennedy Brooks",OKLA,119,"1,069",13,"1,056",8.87,86t,12,Rushing
"Kyler Murray",OKLA,140,"1,137",136,"1,001",7.15,75t,12,Rushing
"Trey Sermon",OKLA,164,972,25,947,5.77,60,13,Rushing
"Justice Hill",OKST,158,971,41,930,5.89,92,9,Rushing
"Kennedy McKoy",WVU,145,834,32,802,5.53,38t,8,Rushing
"Tre Watson",TEX,185,803,17,786,4.25,39,3,Rushing
"Chuba Hubbard",OKST,124,766,26,740,5.97,33,7,Rushing
"Keaontay Ingram",TEX,142,731,23,708,4.99,31,3,Rushing
"Sewo Olonilua",TCU,135,652,17,635,4.70,33,2,Rushing
"Martell Pettaway",WVU,98,644,21,623,6.36,55t,6,Rushing
"Darius Anderson",TCU,124,644,46,598,4.82,93t,3,Rushing
"John Lovett",BAY,109,595,22,573,5.26,75t,6,Rushing
"Khalil Herbert",KAN,113,530,31,499,4.42,59t,5,Rushing
"Sam Ehlinger",TEX,164,691,209,482,2.94,18,16,Rushing
"Leddie Brown",WVU,91,458,12,446,4.90,47,4,Rushing
"JaMycal Hasty",BAY,82,470,36,434,5.29,54t,4,Rushing
"Trestan Ebner",BAY,69,427,14,413,5.99,34t,1,Rushing
"Taylor Cornelius",OKST,122,648,242,406,3.33,48,10,Rushing
"Charlie Brewer",BAY,133,600,225,375,2.82,38,7,Rushing
"Skylar Thompson",KSST,105,548,175,373,3.55,52t,5,Rushing
"Jett Duffey",TTU,79,447,78,369,4.67,38t,4,Rushing
"Ta'Zhawn Henry",TTU,86,372,31,341,3.97,23,8,Rushing
"Da'Leon Ward",TTU,79,351,10,341,4.32,32,3,Rushing
"Brock Purdy",IAST,100,451,143,308,3.08,29t,5,Rushing
"Demarcus Felton",TTU,62,313,18,295,4.76,34t,6,Rushing
"Alex Delton",KSST,85,338,104,234,2.75,24,2,Rushing
"Dom Williams",KAN,55,232,1,231,4.20,23,0,Rushing
"Shawn Robinson",TCU,49,301,71,230,4.69,36t,3,Rushing
"Emari Demercado",TCU,57,230,6,224,3.93,22,0,Rushing
"Jalen Hurd",BAY,48,218,9,209,4.35,37,3,Rushing
"T.J. Pledger",OKLA,30,181,2,179,5.97,21,0,Rushing
"Jalen Reagor",TCU,13,181,11,170,13.08,83t,2,Rushing
"La'Darren Brown",OKST,27,175,12,163,6.04,77t,1,Rushing
"Tre King",TTU,40,180,20,160,4.00,18t,1,Rushing
"Kene Nwangwu",IAST,39,168,11,157,4.03,24,0,Rushing
"J.D. King",OKST,43,168,15,153,3.56,21,0,Rushing
"Daniel Young",TEX,42,161,8,153,3.64,30,0,Rushing
"Marcelias Sutton",OKLA,29,159,7,152,5.24,22t,2,Rushing
"Dalvin Warmack",KSST,36,156,12,144,4.00,17,0,Rushing
"Rodney Anderson",OKLA,11,125,6,119,10.82,65t,3,Rushing
"Michael Collins",TCU,38,152,41,111,2.92,16,3,Rushing
"SaRodorick Thompson",TTU,25,108,3,105,4.20,21t,3,Rushing
"Tevin Bush",WVU,6,108,5,103,17.17,79,0,Rushing
"Jalan McClendon",BAY,34,153,51,102,3.00,21,2,Rushing
"Deron Thompson",KAN,7,102,0,102,14.57,55t,1,Rushing
"Keondre Wudtee",OKST,12,89,8,81,6.75,30,0,Rushing
"Johnnie Lang",IAST,22,81,2,79,3.59,14,1,Rushing
"Justin Silmon",KSST,20,85,9,76,3.80,23,1,Rushing
"Grayson Muehlstein",TCU,35,114,43,71,2.03,21,0,Rushing
"Alec Sinkfield",WVU,19,76,8,68,3.58,9t,1,Rushing
"Sheldon Croney Jr.",IAST,23,62,6,56,2.43,14,1,Rushing
"Miles Kendrick",KAN,16,70,23,47,2.94,13,1,Rushing
"Carter Stanley",KAN,21,88,50,38,1.81,20,0,Rushing
"Ryan Haymaker",OKST,15,38,1,37,2.47,10,0,Rushing
"Craig Williams",BAY,2,35,0,35,17.50,21t,1,Rushing
"KaVontae Turpin",TCU,4,32,0,32,8.00,18,0,Rushing
"Chris Platt",BAY,2,31,0,31,15.50,19,0,Rushing
"Steven Sims Jr.",KAN,2,29,0,29,14.50,23,0,Rushing
"KeSean Carter",TTU,3,28,0,28,9.33,14,0,Rushing
"Derius Davis",TCU,5,33,5,28,5.60,19,0,Rushing
"Lil'Jordan Humphrey",TEX,6,25,0,25,4.17,11,1,Rushing
"Kenedy Snell",TCU,7,23,0,23,3.29,5,0,Rushing
"Jeremiah Hall",OKLA,4,21,0,21,5.25,8,0,Rushing
"Austin Kendall",OKLA,7,33,12,21,3.00,12,0,Rushing
"Isaiah Zuber",KSST,1,17,0,17,17.00,17,0,Rushing
"Josh Fleeks",BAY,9,32,16,16,1.78,17,1,Rushing
"David Sills V",WVU,0,14,0,14,0.00,0,0,Rushing
"Reese Randall",KAN,2,11,0,11,5.50,7,0,Rushing
"Mason Reed",TTU,5,13,2,11,2.20,5,0,Rushing
"Abram Smith",BAY,4,11,0,11,2.75,6,0,Rushing
"Devin Duvernay",TEX,1,10,0,10,10.00,10,0,Rushing
"Ryan Malbrough",KAN,3,10,0,10,3.33,5,0,Rushing
"Colt Garrett",TTU,2,9,0,9,4.50,6,0,Rushing
"Shane Buechele",TEX,10,35,27,8,0.80,12,0,Rushing
"D'Shawn Jamison",TEX,4,14,6,8,2.00,8,0,Rushing
"Ryan Schadler",KAN,1,8,0,8,8.00,8,0,Rushing
"Jacques Guillot",TCU,3,7,0,7,2.33,5,0,Rushing
"Seth Collins",TTU,2,10,4,6,3.00,10,0,Rushing
"Tylan Wallace",OKST,1,6,0,6,6.00,6t,1,Rushing
"Landon Wolf",OKST,1,6,0,6,6.00,6,0,Rushing
"Gerry Bohanon",BAY,2,5,0,5,2.50,3,0,Rushing
"Jalen McCleskey",OKST,1,5,0,5,5.00,5t,1,Rushing
"Marcus Simms",WVU,1,5,0,5,5.00,5,0,Rushing
"De'Quan Bowman",TTU,1,4,0,4,4.00,4,0,Rushing
"Jarrison Stewart",TCU,1,4,0,4,4.00,4,0,Rushing
"Trey Lowe III",WVU,2,9,6,3,1.50,9,0,Rushing
"Tarique Milton",IAST,1,3,0,3,3.00,3,0,Rushing
"Trevon Wesco",WVU,1,3,0,3,3.00,3,0,Rushing
"Lorenzo Dorr",WVU,2,2,0,2,1.00,1,0,Rushing
"Garret McGuire",BAY,1,2,0,2,2.00,2,0,Rushing
"Adam Nunez",TCU,0,2,0,2,0.00,0,0,Rushing
"Kyle Porter",TEX,1,2,0,2,2.00,2t,1,Rushing
"Karson Ringdahl",TCU,1,2,0,2,2.00,2,0,Rushing
"Tyquan Thornton",BAY,2,3,1,2,1.00,3,0,Rushing
"Kerr Johnson",KAN,1,1,0,1,1.00,1,0,Rushing
"Tyron Johnson",OKST,1,1,0,1,1.00,1t,1,Rushing
"Marquise Brown",OKLA,2,0,0,0,0.00,0,0,Rushing
