Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Frankie Hickson",LIB,229,"1,059",27,"1,032",4.51,47t,11,Rushing
"Kelvin Hopkins Jr.",ARMY,208,"1,082",60,"1,022",4.91,77t,17,Rushing
"Dexter Williams",ND,158,"1,037",42,995,6.30,97t,12,Rushing
"Darnell Woolfolk",ARMY,221,958,2,956,4.33,52,14,Rushing
"Marquis Young",MASS,154,791,13,778,5.05,43t,9,Rushing
"Christian Gibson",NMST,96,605,15,590,6.15,66t,6,Rushing
"Jason Huntley",NMST,109,533,28,505,4.63,40,7,Rushing
"Peytton Pickett",LIB,110,470,13,457,4.15,53t,9,Rushing
"Lopini Katoa",BYU,77,437,10,427,5.55,50,8,Rushing
"Squally Canada",BYU,91,432,20,412,4.53,46,5,Rushing
"Kentory Matthews",LIB,57,421,13,408,7.16,57t,5,Rushing
"Tony Jones Jr.",ND,83,412,20,392,4.72,31t,3,Rushing
"Jafar Armstrong",ND,72,402,19,383,5.32,42,7,Rushing
"Matt Hadley",BYU,71,390,11,379,5.34,40t,6,Rushing
"Jordan Fredericks",MASS,77,384,28,356,4.62,27,1,Rushing
"Andy Davidson",ARMY,69,331,1,330,4.78,22,2,Rushing
"Connor Slomka",ARMY,74,328,4,324,4.38,48t,5,Rushing
"Riley Burt",BYU,59,332,9,323,5.47,37t,2,Rushing
"Kell Walker",ARMY,67,349,29,320,4.78,51,0,Rushing
"Cam Thomas",ARMY,50,319,13,306,6.12,52,3,Rushing
"Ian Book",ND,95,393,113,280,2.95,23t,4,Rushing
"Brandon Wimbush",ND,68,313,57,256,3.76,35,1,Rushing
"Ross Comis",MASS,86,411,156,255,2.97,27,6,Rushing
"Frank Boyd",LIB,42,234,6,228,5.43,20,3,Rushing
"Zach Wilson",BYU,75,379,158,221,2.95,36,2,Rushing
"Jordan Asberry",ARMY,36,235,18,217,6.03,34,1,Rushing
"Calen Holt",ARMY,30,188,0,188,6.27,25t,3,Rushing
"Bilal Ally",MASS,25,154,15,139,5.56,66,1,Rushing
"Aleva Hifo",BYU,30,138,9,129,4.30,19,2,Rushing
"Josh Adkins",NMST,86,272,155,117,1.36,21,0,Rushing
"Royce Caldwell",NMST,20,113,1,112,5.60,14,0,Rushing
"Fred Cooper Jr.",ARMY,17,111,1,110,6.47,18,0,Rushing
"Artice Hobbs IV",ARMY,12,101,4,97,8.08,24,1,Rushing
"Andy Isabella",MASS,11,79,0,79,7.18,17,1,Rushing
"Brennon Dingle",MASS,4,72,0,72,18.00,42,0,Rushing
"Avery Davis",ND,22,78,8,70,3.18,12,0,Rushing
"Michael Curtis",MASS,19,79,14,65,3.42,11,4,Rushing
"Sandon McCoy",ARMY,16,65,0,65,4.06,10,0,Rushing
"Luke Langdon",ARMY,8,66,3,63,7.88,27t,1,Rushing
"Dylan Collie",BYU,10,65,6,59,5.90,18,0,Rushing
"Malik Hancock",ARMY,4,53,0,53,13.25,29,0,Rushing
"Tyler Allgeier",BYU,9,74,25,49,5.44,44,0,Rushing
"Jahmir Smith",ND,6,28,0,28,4.67,12,0,Rushing
"Dax Milne",BYU,9,32,9,23,2.56,9,0,Rushing
"Chris Finke",ND,5,23,3,20,4.00,13,0,Rushing
"Gunner Romney",BYU,3,19,1,18,6.00,14,0,Rushing
"Neil Pau'u",BYU,4,13,0,13,3.25,8,0,Rushing
"Nick Orekoya",MASS,5,14,3,11,2.20,9,0,Rushing
"Phil Jurkovec",ND,2,9,0,9,4.50,7,0,Rushing
"Rashaad Bolton",ARMY,2,8,0,8,4.00,5,0,Rushing
"Glen Coates",ARMY,2,8,0,8,4.00,4,0,Rushing
"Micah Simon",BYU,6,21,14,7,1.17,8,0,Rushing
"Jessie Britt",MASS,0,6,0,6,0.00,0,0,Rushing
"Brayden El-Bakri",BYU,4,6,0,6,1.50,2,1,Rushing
"Beau Hoge",BYU,4,6,0,6,1.50,4,0,Rushing
"Jaren Hall",BYU,4,6,2,4,1.00,2,0,Rushing
"Markens Pierre",ARMY,1,4,0,4,4.00,4,0,Rushing
"Anthony Muse",NMST,1,3,0,3,3.00,3,0,Rushing
"Mason Cunningham",LIB,1,2,0,2,2.00,2,0,Rushing
"Zac Foutz",LIB,1,1,0,1,1.00,1,0,Rushing
"Dayan Ghanwoloku",BYU,1,1,0,1,1.00,1t,1,Rushing
"C'Bo Flemister",ND,1,0,0,0,0.00,0,0,Rushing
"Victor Santiago",MASS,2,2,2,0,0.00,2,0,Rushing
"Brady Christensen",BYU,1,0,1,-1,-1.00,0,0,Rushing
"Michael Young",ND,1,0,1,-1,-1.00,1,0,Rushing
"Damian King",LIB,4,6,8,-2,-0.50,3,0,Rushing
"B.J. Farrow",LIB,1,0,8,-8,-8.00,0,0,Rushing
"Johnathan Boone",NMST,2,0,9,-9,-4.50,0,0,Rushing
"Kevin Shaa",LIB,1,0,12,-12,-12.00,0,0,Rushing
"Matt Romero",NMST,35,96,125,-29,-0.83,20,1,Rushing
"Tanner Mangum",BYU,13,13,57,-44,-3.38,3,0,Rushing
"Andrew Ford",MASS,19,15,79,-64,-3.37,8,0,Rushing
"Stephen Calvert",LIB,30,19,165,-146,-4.87,7,2,Rushing
