Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Eno Benjamin",AZST,300,"1,718",76,"1,642",5.47,49t,16,Rushing
"J.J. Taylor",ARIZ,255,"1,485",51,"1,434",5.62,64,6,Rushing
"Jermar Jefferson",ORST,239,"1,414",34,"1,380",5.77,62t,12,Rushing
"Myles Gaskin",WASH,259,"1,331",63,"1,268",4.90,80t,12,Rushing
"Joshua Kelley",UCLA,225,"1,297",54,"1,243",5.52,61,12,Rushing
"Zack Moss",UTAH,179,"1,139",47,"1,092",6.10,86t,11,Rushing
"CJ Verdell",ORE,202,"1,048",30,"1,018",5.04,74,10,Rushing
"Travon McMillian",COL,201,"1,064",55,"1,009",5.02,75t,7,Rushing
"Patrick Laird",CAL,223,997,36,961,4.31,62,5,Rushing
"Aca'Cedric Ware",USC,125,844,19,825,6.60,69t,6,Rushing
"Travis Dye",ORE,140,757,18,739,5.28,49t,4,Rushing
"Bryce Love",STAN,166,808,69,739,4.45,59,6,Rushing
"Salvon Ahmed",WASH,104,658,50,608,5.85,59,7,Rushing
"James Williams",WSU,122,575,12,563,4.61,43,12,Rushing
"Gary Brightwell",ARIZ,91,536,11,525,5.77,72,3,Rushing
"Armand Shyne",UTAH,120,526,14,512,4.27,42,5,Rushing
"Vavae Malepeai",USC,93,509,8,501,5.39,41,8,Rushing
"Manny Wilkins",AZST,112,562,110,452,4.04,45t,8,Rushing
"Chase Garbers",CAL,97,535,114,421,4.34,23,2,Rushing
"Artavis Pierce",ORST,54,425,17,408,7.56,80t,4,Rushing
"Brandon McIlwain",CAL,80,465,63,402,5.03,28t,4,Rushing
"Stephen Carr",USC,81,417,33,384,4.74,50,2,Rushing
"Max Borghi",WSU,72,374,8,366,5.08,30t,8,Rushing
"Cameron Scarlett",STAN,79,339,9,330,4.18,41t,8,Rushing
"Tony Brooks-James",ORE,57,313,7,306,5.37,54t,4,Rushing
"Tyler Huntley",UTAH,108,455,151,304,2.81,28,4,Rushing
"Steven Montez",COL,94,454,216,238,2.53,49,4,Rushing
"Sean McGrew",WASH,50,243,17,226,4.52,30,1,Rushing
"Khalil Tate",ARIZ,74,345,121,224,3.03,33,2,Rushing
"Trevor Speights",STAN,59,242,21,221,3.75,38,1,Rushing
"Kamari Pleasant",WASH,42,215,1,214,5.10,23t,2,Rushing
"Isaiah Floyd",AZST,45,216,7,209,4.64,23,1,Rushing
"Kyle Evans",COL,69,215,14,201,2.91,11,3,Rushing
"Jason Shelley",UTAH,63,280,88,192,3.05,40,3,Rushing
"TJ Green",UTAH,36,191,1,190,5.28,12,0,Rushing
"Kazmeir Allen",UCLA,30,190,2,188,6.27,74t,1,Rushing
"Martell Irby",UCLA,45,191,4,187,4.16,16,1,Rushing
"Britain Covey",UTAH,21,179,7,172,8.19,38,0,Rushing
"Justin Herbert",ORE,71,326,160,166,2.34,37,2,Rushing
"Christopher Brown Jr.",CAL,37,151,3,148,4.00,16,1,Rushing
"Beau Bisharat",COL,21,146,3,143,6.81,47,0,Rushing
"Trevon Bradford",ORST,12,143,7,136,11.33,56,0,Rushing
"Jake Browning",WASH,86,316,189,127,1.48,25,4,Rushing
