Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Trayveon Williams",TAMU,271,"1,811",51,"1,760",6.49,93t,18,Rushing
"Benjamin Snell Jr.",KY,289,"1,509",35,"1,474",5.10,52t,16,Rushing
"Ke'Shawn Vaughn",VAN,157,"1,280",36,"1,244",7.92,78t,12,Rushing
"Larry Rountree III",MIZZ,225,"1,241",25,"1,216",5.40,59t,11,Rushing
"Nick Fitzgerald",MSST,221,"1,321",200,"1,121",5.07,76t,13,Rushing
"D'Andre Swift",UGA,163,"1,068",19,"1,049",6.44,83t,10,Rushing
"Nick Brossette",LSU,240,"1,107",68,"1,039",4.33,50t,14,Rushing
"Elijah Holyfield",UGA,159,"1,042",24,"1,018",6.40,66,7,Rushing
"Scottie Phillips",MISS,153,961,33,928,6.07,65t,12,Rushing
"Damien Harris",ALA,150,891,15,876,5.84,73,9,Rushing
"Lamical Perine",FLA,134,834,8,826,6.16,74t,7,Rushing
"JaTarvious Whitlow",AUB,150,827,40,787,5.25,54,6,Rushing
"Najee Harris",ALA,117,812,29,783,6.69,32,4,Rushing
"Jordan Scarlett",FLA,131,792,16,776,5.92,48t,5,Rushing
"Rakeem Boyd",ARK,123,775,41,734,5.97,69t,2,Rushing
"Kylin Hill",MSST,117,749,15,734,6.27,52,4,Rushing
"Damarea Crockett",MIZZ,147,738,29,709,4.82,59,7,Rushing
"Rico Dowdle",SCAR,123,679,20,659,5.36,30,4,Rushing
"Clyde Edwards-Helaire",LSU,146,677,19,658,4.51,47,7,Rushing
"Joshua Jacobs",ALA,120,657,17,640,5.33,59,11,Rushing
"Ty Chandler",TENN,115,667,37,630,5.48,81t,4,Rushing
"Terry Wilson",KY,135,742,195,547,4.05,42t,4,Rushing
"Aeris Williams",MSST,85,534,10,524,6.16,29t,3,Rushing
"Tim Jordan",TENN,132,566,44,522,3.95,30,3,Rushing
"Kellen Mond",TAMU,149,732,260,472,3.17,62t,7,Rushing
"Kam Martin",AUB,103,474,16,458,4.45,20,1,Rushing
"A.J. Rose",KY,71,472,30,442,6.23,75t,5,Rushing
"Tyler Badie",MIZZ,89,447,10,437,4.91,32,2,Rushing
"Mon Denson",SCAR,86,444,12,432,5.02,69,2,Rushing
"Isaiah Woullard",MISS,84,460,32,428,5.10,46,4,Rushing
"Dameon Pierce",FLA,69,434,10,424,6.14,68t,2,Rushing
"Khari Blasingame",VAN,96,422,21,401,4.18,35,5,Rushing
"Joe Burrow",LSU,128,593,194,399,3.12,59,7,Rushing
"Shaun Shivers",AUB,70,390,19,371,5.30,30,3,Rushing
"Devwah Whaley",ARK,82,383,15,368,4.49,26,2,Rushing
"Jamauri Wakefield",VAN,78,371,18,353,4.53,26,2,Rushing
"Feleipe Franks",FLA,110,501,151,350,3.18,30,7,Rushing
"Jashaun Corbin",TAMU,61,362,16,346,5.67,35,1,Rushing
"Jordan Ta'amu",MISS,116,539,197,342,2.95,39t,6,Rushing
"Ty'Son Williams",SCAR,70,341,13,328,4.69,27,4,Rushing
"Brian Herrien",UGA,50,298,3,295,5.90,24,3,Rushing
"A.J. Turner",SCAR,46,303,9,294,6.39,30,2,Rushing
"James Cook",UGA,41,296,12,284,6.93,36,2,Rushing
"Brian Robinson Jr.",ALA,63,282,10,272,4.32,20,2,Rushing
"Justin Fields",UGA,42,296,30,266,6.33,47,4,Rushing
"Chase Hayden",ARK,57,268,17,251,4.40,38t,1,Rushing
"Kadarius Toney",FLA,21,242,2,240,11.43,34,0,Rushing
