Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Darrynton Evans",APST,179,"1,220",33,"1,187",6.63,79t,7,Rushing
"B.J. Smith",TROY,219,"1,214",28,"1,186",5.42,78t,13,Rushing
"Trey Ragas",LA,207,"1,211",30,"1,181",5.71,47,8,Rushing
"Wesley Fields",GSU,200,"1,080",30,"1,050",5.25,64,9,Rushing
"Elijah Mitchell",LA,146,"1,004",19,985,6.75,65t,13,Rushing
"Shai Werts",GSU,181,"1,068",167,901,4.98,47t,15,Rushing
"Marcel Murray",ARST,154,874,14,860,5.58,64,8,Rushing
"Tra Minter",USA,183,836,35,801,4.38,43,6,Rushing
"Warren Wand",ARST,139,810,18,792,5.70,53,4,Rushing
"Raymond Calais",LA,81,766,12,754,9.31,92t,7,Rushing
"CJ Marable",CCU,118,731,12,719,6.09,80t,6,Rushing
"Derrick Gore",ULM,131,681,19,662,5.05,46t,6,Rushing
"Marcus Outlow",CCU,133,666,5,661,4.97,60t,8,Rushing
"Dan Ellington",GAST,158,827,192,635,4.02,42t,5,Rushing
"Caleb Evans",ULM,140,778,146,632,4.51,32,10,Rushing
"Marcus Williams Jr.",APST,122,569,8,561,4.60,27,4,Rushing
"Tra Barnett",GAST,109,579,28,551,5.05,75t,7,Rushing
"Monteo Garrett",GSU,93,524,9,515,5.54,54,5,Rushing
"Zac Thomas",APST,92,596,92,504,5.48,62t,10,Rushing
"Wesley Kennedy III",GSU,64,517,15,502,7.84,47t,3,Rushing
"Justice Hansen",ARST,133,576,165,411,3.09,34,6,Rushing
"Willie Jones III",TXST,95,552,150,402,4.23,50t,3,Rushing
"Jalin Moore",APST,63,412,12,400,6.35,81t,6,Rushing
"Jabir Daughtry-Frye",TROY,53,383,12,371,7.00,74t,2,Rushing
"Seth Paige",GAST,62,351,10,341,5.50,82t,4,Rushing
"Anthony D. Taylor",TXST,86,327,15,312,3.63,21,4,Rushing
"Caleb Twyford",TXST,70,351,40,311,4.44,41,1,Rushing
"Logan Wright",GSU,47,310,2,308,6.55,59t,3,Rushing
"Robert Brown Jr.",TXST,67,323,20,303,4.52,34,1,Rushing
"Kaleb Barker",TROY,57,358,97,261,4.58,75,3,Rushing
