Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Rondale Moore",PUR,114,"1,258",11.04,70t,12,Receiving
"Parris Campbell",OSU,89,985,11.07,71t,11,Receiving
"Tyler Johnson",MINN,78,"1,169",14.99,52,12,Receiving
"Flynn Nagel",NW,68,780,11.47,61t,2,Receiving
"K.J. Hill",OSU,68,865,12.72,42,6,Receiving
"Stanley Morgan Jr.",NEB,63,922,14.63,67t,5,Receiving
"JD Spielman",NEB,61,746,12.23,75t,8,Receiving
"Cameron Green",NW,57,483,8.47,22,4,Receiving
"Nick Easley",IOWA,52,494,9.50,75t,5,Receiving
"Rashod Bateman",MINN,51,704,13.80,86t,6,Receiving
"T.J. Hockenson",IOWA,49,760,15.51,54t,6,Receiving
"Darrell Stewart Jr.",MSU,48,413,8.60,27,1,Receiving
"Donovan Peoples-Jones",MICH,47,612,13.02,79t,8,Receiving
"Luke Timian",IND,46,422,9.17,30,0,Receiving
"Isaac Zico",PUR,46,743,16.15,50,6,Receiving
"Bennett Skowronek",NW,45,562,12.49,40,3,Receiving
"Raheem Blackshear",RUT,44,367,8.34,41,2,Receiving
"Donavan Hale",IND,42,508,12.10,43t,6,Receiving
"Cody White",MSU,42,555,13.21,40,2,Receiving
"Nick Westbrook",IND,42,590,14.05,41,4,Receiving
"Johnnie Dixon",OSU,42,669,15.93,63,8,Receiving
"KJ Hamler",PSU,42,754,17.95,93t,5,Receiving
"Danny Davis III",WISC,40,464,11.60,55,5,Receiving
"Noah Fant",IOWA,39,519,13.31,65,7,Receiving
"Nico Collins",MICH,38,632,16.63,52,6,Receiving
"J-Shun Harris II",IND,37,325,8.78,30,2,Receiving
"Jake Ferguson",WISC,36,456,12.67,36,4,Receiving
"Terry McLaurin",OSU,35,701,20.03,75t,11,Receiving
"Brycen Hopkins",PUR,34,583,17.15,74,2,Receiving
"Ricky Smalling",ILL,33,406,12.30,67t,5,Receiving
"Connor Heyward",MSU,32,249,7.78,36,0,Receiving
"Zach Gentry",MICH,32,514,16.06,42,2,Receiving
"A.J. Taylor",WISC,32,521,16.28,44,3,Receiving
"Felton Davis III",MSU,31,474,15.29,37,4,Receiving
"Trenard Davis",ILL,30,278,9.27,29,0,Receiving
"Sam Mays",ILL,29,331,11.41,30,0,Receiving
"Ty Fryfogle",IND,29,381,13.14,37t,3,Receiving
"Reese Taylor",IND,28,174,6.21,22,0,Receiving
"Bo Melton",RUT,28,245,8.75,28,0,Receiving
"Jared Sparks",PUR,28,274,9.79,19,0,Receiving
"Brandon Smith",IOWA,28,361,12.89,30,2,Receiving
"Chris Autman-Bell",MINN,28,449,16.04,69,0,Receiving
"Terry Wright",PUR,28,468,16.71,82t,5,Receiving
"D.J. Knox",PUR,27,180,6.67,23,1,Receiving
"J.K. Dobbins",OSU,26,263,10.12,35,2,Receiving
"Austin Mack",OSU,26,331,12.73,48,1,Receiving
"Pat Freiermuth",PSU,26,368,14.15,27,8,Receiving
"Taivon Jacobs",MD,25,328,13.12,30,2,Receiving
"DeAndre Thompkins",PSU,25,329,13.16,40t,2,Receiving
"Juwan Johnson",PSU,25,352,14.08,59,1,Receiving
"Miles Sanders",PSU,24,139,5.79,29,0,Receiving
"Garrett Groshek",WISC,24,163,6.79,43t,1,Receiving
"Maurice Washington",NEB,24,221,9.21,35,1,Receiving
"Eddie Lewis",RUT,23,167,7.26,26,0,Receiving
"Devine Ozigbo",NEB,23,203,8.83,19,0,Receiving
"Whop Philyor",IND,23,235,10.22,65t,1,Receiving
"Kendric Pryor",WISC,23,273,11.87,35t,3,Receiving
"Ihmir Smith-Marsette",IOWA,23,361,15.70,60t,3,Receiving
"Riley Lees",NW,22,214,9.73,29,3,Receiving
"Jeshaun Jones",MD,22,288,13.09,65t,5,Receiving
"Mike Majette",IND,21,97,4.62,17,1,Receiving
"Mike Weber",OSU,21,112,5.33,15,1,Receiving
"Binjimen Victor",OSU,21,354,16.86,47t,4,Receiving
"Grant Perry",MICH,20,147,7.35,16,0,Receiving
"Luke Farrell",OSU,20,205,10.25,24,1,Receiving
"Jack Stoll",NEB,20,208,10.40,33,3,Receiving
"Ramaud Chiaokhiao-Bowman",NW,20,237,11.85,52,0,Receiving
"Jeremy Larkin",NW,19,127,6.68,17,0,Receiving
"Cam Chambers",MSU,19,264,13.89,36,0,Receiving
"Dominic Stampley",ILL,19,311,16.37,84t,2,Receiving
"Chris Evans",MICH,18,148,8.22,24,1,Receiving
"Cole Herdman",PUR,18,196,10.89,29,0,Receiving
"Brandon Sowards",MSU,18,201,11.17,23,0,Receiving
"Kade Warner",NEB,17,95,5.59,14,0,Receiving
"Markell Jones",PUR,17,119,7.00,16,1,Receiving
"Mekhi Sargent",IOWA,17,156,9.18,48,1,Receiving
"Stevie Scott",IND,16,86,5.38,19,1,Receiving
"Reggie Corbin",ILL,16,176,11.00,52,0,Receiving
"Travis Vokolek",RUT,16,184,11.50,27t,2,Receiving
"Kyric McGowan",NW,16,283,17.69,77t,2,Receiving
"Shameen Jones",RUT,15,155,10.33,17,1,Receiving
"Peyton Hendershot",IND,15,163,10.87,32t,2,Receiving
"Sean McKeon",MICH,14,122,8.71,17t,1,Receiving
"Matt Dotson",MSU,14,159,11.36,21,1,Receiving
"D.J. Turner",MD,13,159,12.23,54t,1,Receiving
"Jahan Dotson",PSU,13,203,15.62,35,0,Receiving
"Dontay Demus",MD,13,278,21.38,56,0,Receiving
"Chad Hanaoka",NW,12,63,5.25,14,0,Receiving
"Jon Hilliman",RUT,12,92,7.67,13,0,Receiving
"Laress Nelson",MSU,12,114,9.50,21,0,Receiving
"Mike Williams",NEB,12,122,10.17,24,0,Receiving
"Chris Olave",OSU,12,197,16.42,29t,3,Receiving
"Oliver Martin",MICH,11,125,11.36,21,1,Receiving
"Jerome Washington",RUT,11,202,18.36,39,0,Receiving
"C.J. Saunders",OSU,10,73,7.30,19,0,Receiving
"Mike Epstein",ILL,10,86,8.60,32,0,Receiving
"Carmoni Green",ILL,10,93,9.30,25,0,Receiving
"LJ Scott",MSU,10,95,9.50,32,0,Receiving
"Charlie Fessler",NW,10,101,10.10,17,0,Receiving
"JJ Jefferson",NW,10,181,18.10,68,2,Receiving
